pv_s_scale,svc_q_scale,cap_total_mvar,n_scenarios,pr_violation_any,pr_pf_fail_any,loss_mean_pos,capex,pass,feasible
1.0368421052631578,1.5,0.75,30,0.03333333333333333,0.0,3.285449044248842,128.34210538864136,refined,0
1.0368421052631578,1.4578947368421051,0.75,30,0.03333333333333333,0.0,3.172946347927822,126.23683953285217,refined,0
1.0368421052631578,1.4157894736842105,0.75,30,0.03333333333333333,0.0,3.064941006171229,124.13157963752747,refined,0
1.0368421052631578,1.3736842105263158,0.75,30,0.03333333333333333,0.0,2.961475828807522,122.02631378173828,refined,0
1.0368421052631578,1.331578947368421,0.75,30,0.0,0.0,2.8626068112923124,119.92105388641357,refined,1
1.0368421052631578,1.289473684210526,0.75,30,0.0,0.0,2.768386759191618,117.81578803062439,refined,1
1.0368421052631578,1.2473684210526317,0.75,30,0.0,0.0,2.678830887438545,115.71052813529968,refined,1
1.0368421052631578,1.2052631578947368,0.75,30,0.0,0.0,2.593934512826275,113.6052622795105,refined,1
1.0368421052631578,1.163157894736842,0.75,30,0.0,0.0,2.5136980345274123,111.50000238418579,refined,1
1.0368421052631578,1.1210526315789473,0.75,30,0.0,0.0,2.438136457465136,109.3947365283966,refined,1
1.0368421052631578,1.0789473684210527,0.75,30,0.0,0.0,2.36723304514624,107.2894766330719,refined,1
0.9947368421052631,1.2052631578947368,0.75,30,0.0,0.0,2.578949187632772,111.49999940395355,refined,1
1.0368421052631578,1.0368421052631578,0.75,30,0.0,0.0,2.3010515518358132,105.18421077728271,refined,1
1.0368421052631578,0.9526315789473684,0.75,30,0.03333333333333333,0.0,1.8902844203057696,100.97368502616882,refined,0
1.0368421052631578,0.9105263157894736,0.75,30,0.03333333333333333,0.0,1.1345099160423266,98.86842215061188,refined,0
1.0368421052631578,0.8684210526315789,0.75,30,0.03333333333333333,0.0,1.109525070499313,96.76315927505493,refined,0
1.0368421052631578,0.8263157894736841,0.75,30,0.03333333333333333,0.0,1.087180696408155,94.65789341926575,refined,0
1.0368421052631578,0.7842105263157895,0.75,30,0.03333333333333333,0.0,1.0674668706082289,92.5526305437088,refined,0
1.0368421052631578,0.7421052631578947,0.75,30,0.03333333333333333,0.0,1.0503876816122821,90.44736766815186,refined,0
1.0368421052631578,0.7,0.75,30,0.03333333333333333,0.0,1.035971346404637,88.34210479259491,refined,0
0.9947368421052631,1.5,0.75,30,0.03333333333333333,0.0,3.2716224926242243,126.23684251308441,refined,0
0.9947368421052631,1.4578947368421051,0.75,30,0.03333333333333333,0.0,3.1589540384821593,124.13157665729523,refined,0
0.9947368421052631,1.4157894736842105,0.75,30,0.03333333333333333,0.0,3.050777393715225,122.02631676197052,refined,0
0.9947368421052631,1.3736842105263158,0.75,30,0.03333333333333333,0.0,2.9471401212252415,119.92105090618134,refined,0
0.9947368421052631,1.331578947368421,0.75,30,0.03333333333333333,0.0,2.8481079426126232,117.81579101085663,refined,0
1.0368421052631578,0.9947368421052631,0.75,30,0.0,0.0,2.239643838543718,103.07894790172577,refined,1
1.2052631578947368,0.7421052631578947,0.75,30,0.03333333333333333,0.0,1.0878769078494661,98.86841917037964,refined,0
1.331578947368421,0.7842105263157895,0.75,30,0.03333333333333333,0.0,1.1349846733476718,107.28947365283966,refined,0
1.2052631578947368,0.8263157894736841,0.75,30,0.03333333333333333,0.0,1.12410553460687,103.07894492149353,refined,0
1.3736842105263158,1.2052631578947368,0.75,30,0.0,0.0,2.728541823027878,130.44736528396606,refined,1
1.3736842105263158,1.163157894736842,0.75,30,0.0,0.0,2.6496761201840084,128.34210538864136,refined,1
1.3736842105263158,1.1210526315789473,0.75,30,0.0,0.0,2.57547304648979,126.23683953285217,refined,1
1.3736842105263158,1.0789473684210527,0.75,30,0.0,0.0,2.505900212792989,124.13157963752747,refined,1
1.3736842105263158,1.0368421052631578,0.75,30,0.0,0.0,2.4409831945135907,122.02631378173828,refined,1
1.3736842105263158,0.9947368421052631,0.75,30,0.0,0.0,2.380784602014062,119.92105090618134,refined,1
1.3736842105263158,0.9526315789473684,0.75,30,0.03333333333333333,0.0,2.0136125329585535,117.81578803062439,refined,0
1.3736842105263158,0.9105263157894736,0.75,30,0.03333333333333333,0.0,1.210895588295606,115.71052515506744,refined,0
1.3736842105263158,0.8684210526315789,0.75,30,0.03333333333333333,0.0,1.186505029991946,113.6052622795105,refined,0
1.3736842105263158,0.8263157894736841,0.75,30,0.03333333333333333,0.0,1.1647197568189995,111.49999642372131,refined,0
1.3736842105263158,0.7842105263157895,0.75,30,0.03333333333333333,0.0,1.145552047145344,109.39473354816437,refined,0
1.3736842105263158,0.7421052631578947,0.75,30,0.03333333333333333,0.0,1.1290322141479032,107.28947067260742,refined,0
1.3736842105263158,1.2473684210526317,0.75,30,0.0,0.0,2.812069554283548,132.55263113975525,refined,1
1.331578947368421,1.5,0.75,30,0.0,0.0,3.393100559455095,143.07894849777222,refined,1
1.331578947368421,1.4157894736842105,0.75,30,0.0,0.0,3.1752027854314786,138.86842274665833,refined,1
1.331578947368421,1.3736842105263158,0.75,30,0.0,0.0,3.072999556400873,136.76315689086914,refined,1
1.331578947368421,1.331578947368421,0.75,30,0.0,0.0,2.9753559431512504,134.65789699554443,refined,1
1.331578947368421,1.289473684210526,0.75,30,0.0,0.0,2.882311061940054,132.55263113975525,refined,1
1.331578947368421,1.2473684210526317,0.75,30,0.0,0.0,2.7939257366635224,130.44737124443054,refined,1
1.331578947368421,1.2052631578947368,0.75,30,0.0,0.0,2.710220651065741,128.34210538864136,refined,1
1.331578947368421,1.163157894736842,0.75,30,0.0,0.0,2.6311841333626402,126.23684549331665,refined,1
