candidate_id,scenario_index,day_index,t0,pv_s_scale,svc_q_scale,cap_total_mvar,risk,under_steps,over_steps,pf_fail,daily_loss_mwh,vmin,vmax,solve_total_seconds,inherited_steps,direct_fallback_steps
1,12,119,11424,0.3,0.0,0.0,1,0,0,1,0.8287612579639513,0.9537428724511551,1.0254313311338843,15.741243299999041,22,0
2,12,119,11424,0.3,0.1875,0.0,1,0,0,1,0.7292409517859326,0.9576089237377755,1.0254311830903062,15.842468900140375,2,0
3,12,119,11424,0.3,0.375,0.0,1,0,0,1,0.7188648221092736,0.9556292065664787,1.0254311830903062,15.894801699963864,2,0
4,12,119,11424,0.45,0.375,0.0,1,0,0,1,0.7184785280731081,0.9640372800301176,1.0214727736026519,16.044638299936196,31,0
5,12,119,11424,0.45,0.5625,0.0,1,0,0,1,0.718420006729061,0.9640372800301176,1.0214727736026519,16.92868430004455,15,0
6,12,119,11424,0.45,0.75,0.0,1,0,0,1,0.7912228321806879,0.9593072387720742,1.0214727736026519,16.283506799925817,41,0
7,12,119,11424,0.6,0.75,0.0,1,0,0,1,1.125228250645486,0.9546046028850705,1.0480874591356995,17.252420599892503,32,0
8,12,119,11424,0.75,0.75,0.0,1,0,0,1,1.1251286627204105,0.954604302286967,1.0480874262142836,17.131825600052252,19,0
0,13,129,12384,0.225,0.0,0.0,1,0,0,1,1.262241600755915,0.951000002473399,1.0218795008132175,15.469394799874863,0,0
1,13,129,12384,0.3,0.0,0.0,0,0,0,0,2.179757745802836,0.950999352929683,1.0268053325535784,20.82060629973421,23,0
2,13,129,12384,0.3,0.1875,0.0,0,0,0,0,1.395942195258648,0.9537284772696761,1.0175477093020608,20.829071200132603,0,0
3,13,129,12384,0.3,0.375,0.0,0,0,0,0,1.3250884402870475,0.9579111558185504,1.0168040078170932,20.583645299921045,0,0
4,13,129,12384,0.45,0.375,0.0,0,0,0,0,1.3246897470661045,0.9578383317735008,1.016801947362191,20.874638800160028,46,0
5,13,129,12384,0.45,0.5625,0.0,0,0,0,0,1.3239461642814894,0.9574359296450158,1.0167655114500749,21.356097700132523,21,0
6,13,129,12384,0.45,0.75,0.0,0,0,0,0,1.3239388151080576,0.9572432114633637,1.0167668479127192,20.731565199937904,31,0
7,13,129,12384,0.6,0.75,0.0,0,0,0,0,1.323986671820538,0.9574006422876208,1.016762854677097,20.606977899937192,37,0
8,13,129,12384,0.75,0.75,0.0,0,0,0,0,1.323971491569901,0.9574381324673155,1.016791960947627,20.85992789993179,33,0
0,15,143,13728,0.225,0.0,0.0,1,0,0,1,1.084128571981077,0.9510000011331526,1.0196827606426857,12.754921800049488,0,0
1,15,143,13728,0.3,0.0,0.0,0,0,0,0,2.2136898138901633,0.95099945807322,1.0292445597188506,20.974769099993864,11,0
2,15,143,13728,0.3,0.1875,0.0,0,0,0,0,1.3549473758481612,0.9540735821693399,1.0074519445151287,21.326352100033546,0,0
3,15,143,13728,0.3,0.375,0.0,0,0,0,0,1.2871338803697747,0.9594215938668045,1.0073852844419455,21.117993799765827,0,0
4,15,143,13728,0.45,0.375,0.0,0,0,0,0,1.286659566523313,0.9588110937791067,1.0073851454239056,21.282201199879637,37,0
5,15,143,13728,0.45,0.5625,0.0,0,0,0,0,1.2864807599519907,0.9589237187699731,1.0073834010986047,21.131437200237997,29,0
6,15,143,13728,0.45,0.75,0.0,0,0,0,0,1.2865381559617108,0.9588919725398727,1.007383457342957,20.64716729990323,42,0
7,15,143,13728,0.6,0.75,0.0,0,0,0,0,1.2865050693208329,0.9588255086653825,1.0073849839336781,21.023348900227575,35,0
8,15,143,13728,0.75,0.75,0.0,0,0,0,0,1.2865111172846722,0.9588691368487824,1.0073855739932625,21.276946999976644,32,0
0,16,151,14496,0.225,0.0,0.0,1,0,0,1,1.5315591986999413,0.9510000005980138,1.0201774947315059,17.967568100080825,0,0
1,16,151,14496,0.3,0.0,0.0,0,0,0,0,1.9187034739206674,0.9509994653065593,1.0228330236739702,21.142187700170325,21,0
2,16,151,14496,0.3,0.1875,0.0,0,0,0,0,1.3358580892791123,0.9549722045161443,1.0208354898547445,20.9911834000377,0,0
3,16,151,14496,0.3,0.375,0.0,0,0,0,0,1.2679362170584796,0.9590896675846754,1.0200953328442754,20.800220000033733,0,0
4,16,151,14496,0.45,0.375,0.0,0,0,0,0,1.2674473885298292,0.9584422895537478,1.0200928062994519,21.153626299928874,43,0
5,16,151,14496,0.45,0.5625,0.0,0,0,0,0,1.2671849665056423,0.9585915007693188,1.0200239811948328,20.994741700123996,21,0
6,16,151,14496,0.45,0.75,0.0,0,0,0,0,1.267203779251434,0.9585541612834404,1.0200248929486246,20.904444300045725,29,0
7,16,151,14496,0.6,0.75,0.0,0,0,0,0,1.2671833877660819,0.9584908492259806,1.02002442592187,20.653342099802103,35,0
