candidate_id,scenario_index,step,time_index,solver,loss_mw,vmin,vmax,solve_ms,q_mvar_0,q_mvar_1,q_mvar_2,q_mvar_3,error
5,0,1,97,pandapower_ac_opf,0.02964145112898527,0.9726312800195461,0.9999999999999959,205.2426000009291,0.1495294818729152,0.05550123641042532,0.22269388558999187,0.39512134841412183,
6,0,1,97,inherited_nested_dispatch,0.029649048011711518,0.9726171640917193,1.0,193.88120001531206,0.1495294818729152,0.05550123641042532,0.22269388558999187,0.39512134841412183,
7,0,1,97,inherited_nested_dispatch,0.029649048011711518,0.9726171640917193,1.0,225.27669998817146,0.1495294818729152,0.05550123641042532,0.22269388558999187,0.39512134841412183,
8,0,1,97,inherited_nested_dispatch,0.029649048011711518,0.9726171640917193,1.0,209.1892999887932,0.1495294818729152,0.05550123641042532,0.22269388558999187,0.39512134841412183,
0,0,2,98,pandapower_ac_opf,0.03525814497523745,0.965515999848271,1.0000000000028122,194.76380001287907,0.238029172404014,0.0633882662519611,0.28767377628596247,2.1327014986998273e-11,
1,0,2,98,pandapower_ac_opf,0.0352302954504301,0.9654384741110941,1.0000000000011553,231.7363000183832,0.22936833920342317,0.06330741781840252,0.2870841412731965,-1.4870692096879686e-11,
2,0,2,98,pandapower_ac_opf,0.02908647270557269,0.9732084259717193,1.0000000000010254,223.22640000493266,0.16565955506941912,0.05618673887194782,0.23058375656062555,0.32647001218743193,
3,0,2,98,pandapower_ac_opf,0.029040593403303686,0.9745844002683327,0.999999999999643,206.38180000241846,0.18226608098044758,0.0549820490529948,0.219836246409999,0.40146500918757405,
4,0,2,98,pandapower_ac_opf,0.02904562242259683,0.9746717402263311,1.0000000000002136,196.7910999956075,0.18363026940711125,0.05502403032047263,0.2197169572836397,0.4029987984662153,
5,0,2,98,pandapower_ac_opf,0.02893094516598945,0.9728749039983147,1.0000000000003282,202.38400000380352,0.14597583038291984,0.054832933702229275,0.2200510979960985,0.38969748858239595,
6,0,2,98,inherited_nested_dispatch,0.02893621032369325,0.9728649825255383,1.0,201.47619998897426,0.14597583038291984,0.054832933702229275,0.2200510979960985,0.38969748858239595,
7,0,2,98,inherited_nested_dispatch,0.02893621032369325,0.9728649825255383,1.0,205.36369999172166,0.14597583038291984,0.054832933702229275,0.2200510979960985,0.38969748858239595,
8,0,2,98,inherited_nested_dispatch,0.02893621032369325,0.9728649825255383,1.0,192.65280000399798,0.14597583038291984,0.054832933702229275,0.2200510979960985,0.38969748858239595,
0,0,3,99,pandapower_ac_opf,0.03453035829958089,0.9658612504735593,1.0000000000028586,189.4064999942202,0.2343970793946148,0.0627169065237347,0.28457684444421083,1.4853422554568495e-11,
1,0,3,99,pandapower_ac_opf,0.03450508862510694,0.9657841575515156,1.0000000000011702,209.39230002113618,0.22580911027456682,0.06264015329914521,0.2840289723485457,-1.152643221818847e-11,
2,0,3,99,pandapower_ac_opf,0.028480306170042883,0.9734435921618837,1.0000000000010416,229.5668000006117,0.16262857779482276,0.05555801636562205,0.22780597974920894,0.32550870251217023,
3,0,3,99,pandapower_ac_opf,0.028427834282619868,0.9746849527955462,0.9999999999996971,207.8524000244215,0.17687064731515578,0.05440658311752501,0.21758159559141976,0.3962067472312376,
4,0,3,99,pandapower_ac_opf,0.02844533264233776,0.9748854030322837,1.0000000000002691,204.88370000384748,0.18071257760639284,0.05446254445534406,0.21749037526753295,0.39832350371165776,
5,0,3,99,pandapower_ac_opf,0.028340604720269343,0.9731397492169828,1.0000000000005154,204.54920001793653,0.1442107178844531,0.05427440749095909,0.21780538251026488,0.3856528466289465,
6,0,3,99,inherited_nested_dispatch,0.028345457932125062,0.9731305078139595,1.0,196.29329998861067,0.1442107178844531,0.05427440749095909,0.21780538251026488,0.3856528466289465,
