seed,method,execution,candidate_id,scenario_index,daily_loss_mwh_learned,risk_learned,pf_fail_learned,daily_loss_mwh_opf,risk_opf,pf_fail_opf,loss_gap_mwh,relative_loss_gap_percent
43,wg,projected,100,15,4.307033794326171,1,0,1.9107737434256789,0,0,2.3962600509004917,125.40783853374613
43,wg,projected,100,16,1.876828052037244,0,0,1.441565944994005,0,0,0.435262107043239,30.193700715165626
43,wg,projected,105,0,1.0614671979759196,0,0,0.8707517961563219,0,0,0.19071540181959767,21.902383969973396
43,wg,projected,105,1,3.78932860787754,0,0,2.381749916433628,0,0,1.407578691443912,59.09850911432315
43,wg,projected,105,2,1.8993266261015465,0,0,1.480172433946151,0,0,0.4191541921553954,28.31792989401425
43,wg,projected,105,3,3.2984025347937798,0,0,2.1290737926426564,0,0,1.1693287421511234,54.921945222937765
43,wg,projected,105,4,2.077799467720114,0,0,1.5568437357506988,0,0,0.5209557319694151,33.462300679664175
43,wg,projected,105,5,0.99407623657193,0,0,0.8280109521617258,0,0,0.16606528441020418,20.055928484599146
43,wg,projected,105,6,1.665526322978205,0,0,1.3539876946049323,0,0,0.3115386283732726,23.00897043707429
43,wg,projected,105,7,0.9634957480959616,0,0,0.8039050417211643,0,0,0.15959070637479733,19.851935003805043
43,wg,projected,105,8,1.4593646694332147,0,0,1.23644667562746,0,0,0.22291799380575483,18.028920955497785
43,wg,projected,105,9,1.004802965051462,0,0,0.8534526698151408,0,0,0.15135029523632126,17.733882684918424
43,wg,projected,105,10,0.9845623061055008,0,0,0.8308294426605012,0,0,0.1537328634449996,18.503540624741543
43,wg,projected,105,11,1.5194397794364232,0,0,1.2694237193612543,0,0,0.25001606007516886,19.695240939799938
43,wg,projected,105,12,1.9984439612129128,0,0,1.5071587524158685,0,0,0.4912852087970443,32.59677907251303
43,wg,projected,105,13,2.4718474950343325,0,0,1.7244028188661646,0,0,0.7474446761681679,43.34513189091342
43,wg,projected,105,14,2.295169497566075,0,0,1.6563826471808891,0,0,0.6387868503851859,38.565174023790995
43,wg,projected,105,15,2.863952093411333,0,0,1.914671366724867,0,0,0.9492807266864662,49.579303434732736
43,wg,projected,105,16,1.8456417349459988,0,0,1.441715732277228,0,0,0.40392600266877077,28.017035094065246
43,wg,projected,267,0,1.1017249765212,0,0,0.8486609029840949,0,0,0.25306407353710514,29.81922139305243
43,wg,projected,267,1,3.55227820382838,0,0,2.3300496823289927,0,0,1.2222285214993875,52.45504122803568
43,wg,projected,267,2,1.856150246908754,0,0,1.4455050333792088,0,0,0.4106452135295453,28.408425017349494
43,wg,projected,267,3,3.09686727742354,0,0,2.0751278359476,0,0,1.02173944147594,49.237421607299005
43,wg,projected,267,4,1.993097404861326,0,0,1.511849703811168,0,0,0.4812477010501579,31.8317158006512
43,wg,projected,267,5,1.0248438483818167,0,0,0.8042536386869326,0,0,0.2205902096948842,27.427940525706735
43,wg,projected,267,6,1.6313977951644087,0,0,1.3147205062067502,0,0,0.31667728895765856,24.087042642343828
43,wg,projected,267,7,0.9932888464190168,0,0,0.7792415945363826,0,0,0.21404725188263418,27.468663554848312
43,wg,projected,267,8,1.4547242909948526,0,0,1.2010236742826643,0,0,0.25370061671218824,21.12369823714891
43,wg,projected,267,9,1.0296725280201129,0,0,0.826957410982471,0,0,0.2027151170376419,24.51336844503336
43,wg,projected,267,10,1.0114332595390256,0,0,0.8050512637330821,0,0,0.20638199580594352,25.635882471500633
43,wg,projected,267,11,1.5052273764096844,0,0,1.2338996526418011,0,0,0.2713277237678833,21.9894481035768
43,wg,projected,267,12,1.918628785062668,0,0,1.4655577282228327,0,0,0.4530710568398353,30.91458276360353
43,wg,projected,267,13,2.321172037366697,0,0,1.6769192509494109,0,0,0.6442527864172862,38.41883179840256
43,wg,projected,267,14,2.1791076944033563,0,0,1.6090531932622618,0,0,0.5700545011410945,35.427946293393944
43,wg,projected,267,15,2.694794466216617,0,0,1.8605244142429296,0,0,0.8342700519736872,44.84058610502899
43,wg,projected,267,16,1.817496617997049,0,0,1.411265688451773,0,0,0.4062309295452762,28.78486544875411
44,wg,raw,100,0,0.8928199079420633,0,0,0.8705694474776073,0,0,0.022250460464456,2.5558512912352493
44,wg,raw,100,1,2.7747113229784057,0,0,2.400361367990582,0,0,0.37434995498782353,15.595566566762557
44,wg,raw,100,2,1.6014249241278635,0,0,1.479811628403618,0,0,0.12161329572424551,8.218160567871651
44,wg,raw,100,3,2.423862507375073,0,0,2.1304934721188347,0,0,0.29336903525623814,13.77000394957674
44,wg,raw,100,4,1.6875251231511297,0,0,1.555612412679469,0,0,0.13191271047166064,8.479792871056308
44,wg,raw,100,5,0.8535406490694063,0,0,0.8279395075780194,0,0,0.025601141491386925,3.092151208761402
44,wg,raw,100,6,1.421777487494547,0,0,1.3534292756835282,0,0,0.0683482118110188,5.05000246699264
44,wg,raw,100,7,0.8226296976392783,0,0,0.8032922580485785,0,0,0.01933743959069978,2.4072732429509314
44,wg,raw,100,8,1.2910643980662266,0,0,1.23610179258524,0,0,0.05496260548098664,4.446446547580464
44,wg,raw,100,9,0.8724558521096643,0,0,0.8531104317613608,0,0,0.019345420348303444,2.2676337819902437
44,wg,raw,100,10,0.8479225754277322,0,0,0.8304233125305677,0,0,0.017499262897164525,2.107270187759858
44,wg,raw,100,11,1.3383670738303146,0,0,1.269062288020365,0,0,0.06930478580994959,5.461101985629049
44,wg,raw,100,12,1.6225368926977293,0,0,1.5061100476003682,0,0,0.11642684509736112,7.730301333747816
44,wg,raw,100,13,1.8882331096437337,0,0,1.7221864724778555,0,0,0.1660466371658782,9.641617781782529
44,wg,raw,100,14,1.8135057545891864,0,0,1.654075171359246,0,0,0.1594305832299403,9.638654034019945
44,wg,raw,100,15,2.143658058747319,0,0,1.9107737434256789,0,0,0.23288431532164,12.18795873257708
44,wg,raw,100,16,1.5654715328602116,0,0,1.441565944994005,0,0,0.12390558786620653,8.59520775282478
44,wg,raw,105,0,0.8925059208096454,0,0,0.8707517961563219,0,0,0.021754124653323492,2.4983152201753343
44,wg,raw,105,1,2.6972658477912552,0,0,2.381749916433628,0,0,0.315515931357627,13.247231759330658
44,wg,raw,105,2,1.6038123009037948,0,0,1.480172433946151,0,0,0.12363986695764373,8.353071853123145
44,wg,raw,105,3,2.378525222137382,0,0,2.1290737926426564,0,0,0.24945142949472565,11.716429480121526
44,wg,raw,105,4,1.6835338441207397,0,0,1.5568437357506988,0,0,0.1266901083700409,8.137625213165782
44,wg,raw,105,5,0.8533531796056638,0,0,0.8280109521617258,0,0,0.025342227443937992,3.0606150048831946
