method,execution,seed,candidate_id,matched_days,mean_learned_loss_mwh,mean_opf_loss_mwh,mean_loss_gap_mwh,median_loss_gap_mwh,bootstrap_95_ci_low_mwh,bootstrap_95_ci_high_mwh,mean_relative_loss_gap_percent,fraction_learned_below_local_opf,learned_event_days,opf_event_days,learned_pf_fail_days,opf_pf_fail_days
concat,projected,42,100,17,1.4461114014935574,1.4026422691020546,0.04346913239150289,0.042989012588460884,0.027913983520901606,0.06124208102673013,2.6520961182428455,0.0,0,0,0,0
concat,projected,42,105,17,1.4419837742639825,1.402292893432156,0.03969088083182648,0.04013961829877899,0.025016606796297775,0.05691570276710131,2.404307150917763,0.0,0,0,0,0
concat,projected,42,267,17,1.4257033493978353,1.364685951450021,0.06101739794781437,0.058976415529551796,0.053527698737752316,0.06951620119110682,4.629791820111488,0.0,0,0,0,0
concat,raw,43,100,17,1.4355988365133008,1.4026422691020546,0.03295656741124656,0.03132541674567535,0.021408766507009677,0.046714628049298115,2.047491461451912,0.0,0,0,0,0
concat,raw,43,105,17,1.4334463337224854,1.402292893432156,0.0311534402903293,0.02939527629994343,0.02014849812897851,0.044966008217770095,1.9473603600689642,0.0,0,0,0,0
concat,raw,43,267,17,1.402522589045188,1.364685951450021,0.03783663759516698,0.03426487557432534,0.030593131116795836,0.04633611744519639,2.7415496206173784,0.0,0,0,0,0
concat,projected,43,100,17,1.4355988365133008,1.4026422691020546,0.03295656741124656,0.03132541674567535,0.021540361619620828,0.04706487674418426,2.047491461451912,0.0,0,0,0,0
concat,projected,43,105,17,1.4334463337224854,1.402292893432156,0.0311534402903293,0.02939527629994343,0.020372461425027737,0.04487194995689835,1.9473603600689642,0.0,0,0,0,0
concat,projected,43,267,17,1.402522589045188,1.364685951450021,0.03783663759516698,0.03426487557432534,0.030421308507249837,0.046430284447309164,2.7415496206173784,0.0,0,0,0,0
concat,raw,44,100,17,1.445093609839673,1.4026422691020546,0.04245134073761874,0.04575069213271199,0.025756512884032287,0.06114306783094937,2.497396320644585,0.0,0,0,0,0
concat,raw,44,105,17,1.4455826173331099,1.402292893432156,0.04328972390095407,0.045436320361843974,0.025315509511248974,0.06359059777936997,2.5267871542164606,0.0,0,0,0,0
concat,raw,44,267,17,1.4166055697970161,1.364685951450021,0.05191961834699534,0.04477017830769925,0.03729004563305049,0.0689610857530557,3.503148028622018,0.0,0,0,0,0
concat,projected,44,100,17,1.445093609839673,1.4026422691020546,0.04245134073761874,0.04575069213271199,0.025764233712875714,0.061040419326409426,2.497396320644585,0.0,0,0,0,0
concat,projected,44,105,17,1.4455826173331099,1.402292893432156,0.04328972390095407,0.045436320361843974,0.025631664361304745,0.06317546345530786,2.5267871542164606,0.0,0,0,0,0
concat,projected,44,267,17,1.4166055697970161,1.364685951450021,0.05191961834699534,0.04477017830769925,0.03697812634869167,0.06913484244236034,3.503148028622018,0.0,0,0,0,0
concat,raw,45,100,17,1.4315976454450146,1.4026422691020546,0.02895537634295994,0.022291360041014174,0.016310807232680163,0.04367003786388367,1.677295762784046,0.0,0,0,0,0
concat,raw,45,105,17,1.4322657092283178,1.402292893432156,0.029972815796161817,0.023017835140315634,0.01601464616715596,0.04686125640903739,1.71465847270103,0.0,0,0,0,0
concat,raw,45,267,17,1.427423736950526,1.364685951450021,0.06273778550050498,0.05603496351877779,0.04542379260477203,0.08273753553022802,4.231403003926601,0.0,0,0,0,0
concat,projected,45,100,17,1.4315976454450146,1.4026422691020546,0.02895537634295994,0.022291360041014174,0.016488565551444605,0.04368902765951535,1.677295762784046,0.0,0,0,0,0
concat,projected,45,105,17,1.4322657092283178,1.402292893432156,0.029972815796161817,0.023017835140315634,0.016266291190886756,0.046824834653574995,1.71465847270103,0.0,0,0,0,0
concat,projected,45,267,17,1.427423736950526,1.364685951450021,0.06273778550050498,0.05603496351877779,0.04499271143511931,0.08293546356796762,4.231403003926601,0.0,0,0,0,0
concat,raw,46,100,17,1.4317239503658994,1.4026422691020546,0.029081681263844947,0.021822192224502768,0.01678811122397509,0.043673342596730426,1.7119602783619114,0.0,0,0,0,0
concat,raw,46,105,17,1.430981054533969,1.402292893432156,0.028688161101813048,0.021144858326270777,0.015880371051617086,0.04461467317912582,1.6735687028506931,0.0,0,0,0,0
concat,raw,46,267,17,1.4062158871863855,1.364685951450021,0.04152993573636424,0.03445207736501743,0.030989252018805633,0.05440971075966692,2.8758764327768813,0.0,0,0,0,0
concat,projected,46,100,17,1.4317239503658994,1.4026422691020546,0.029081681263844947,0.021822192224502768,0.01700742633594307,0.04376951961210571,1.7119602783619114,0.0,0,0,0,0
concat,projected,46,105,17,1.430981054533969,1.402292893432156,0.028688161101813048,0.021144858326270777,0.01616106343079717,0.04457847385224969,1.6735687028506931,0.0,0,0,0,0
concat,projected,46,267,17,1.4062158871863855,1.364685951450021,0.04152993573636424,0.03445207736501743,0.030795668759924937,0.05443261420144551,2.8758764327768813,0.0,0,0,0,0
