environment,step,actor_inference_ms,ac_execution_ms,total_ms
69,90,0.2571,32.3942,32.6532
69,91,0.6695,27.3548,28.0263
69,92,0.4379,25.745,26.185
69,93,0.2403,20.5537,20.7951
69,94,0.2032,19.2849,19.489
69,95,0.1954,19.83,20.0267
69,96,0.2083,19.3026,19.5118
69,97,0.1736,19.6482,19.8228
69,98,0.178,20.1882,20.3674
69,99,0.214,20.1796,20.3948
69,100,0.2065,20.7554,20.9629
69,101,0.2429,20.4148,20.6589
69,102,0.205,21.061,21.2672
69,103,0.2173,21.059,21.2773
69,104,0.2249,20.639,20.8654
69,105,0.1825,20.5454,20.729
69,106,0.1841,20.2629,20.4483
69,107,0.1688,20.3029,20.4727
69,108,0.1729,21.0121,21.186
69,109,0.1785,20.7732,20.9527
69,110,0.2057,20.7223,20.9296
69,111,0.1768,21.2606,21.4385
69,112,0.1719,21.1608,21.3338
69,113,0.2084,20.9077,21.1171
69,114,0.1714,20.5823,20.7546
69,115,0.1758,21.451,21.6278
69,116,0.1873,20.7203,20.9087
69,117,0.1986,21.1933,21.3929
69,118,0.241,20.7156,20.9578
69,119,0.1704,20.4717,20.6432
69,120,0.1903,20.6864,20.8777
69,121,0.201,20.1488,20.351
69,122,0.1632,20.3159,20.48
69,123,0.193,21.0574,21.2515
69,124,0.2102,20.7907,21.0019
69,125,0.2078,20.4977,20.7065
69,126,0.2397,21.721,21.9618
69,127,0.222,21.1429,21.3659
69,128,0.2123,21.0477,21.2611
69,129,0.2274,20.1132,20.3418
69,130,0.1622,20.8495,21.0127
69,131,0.1721,20.5753,20.7484
69,132,0.1862,20.6076,20.7947
69,133,0.2033,21.2019,21.4061
69,134,0.1998,20.2829,20.4838
69,135,0.1684,20.9953,21.1648
69,136,0.1859,20.3804,20.5672
69,137,0.1849,20.3726,20.5585
69,138,0.1781,20.8902,21.0694
69,139,0.187,20.2602,20.4482
69,140,0.1906,21.5979,21.7896
69,141,0.2148,20.9805,21.1964
69,142,0.2621,20.2044,20.468
69,143,0.1599,20.0362,20.1972
69,144,0.2049,25.1421,25.348
69,145,0.2049,19.842,20.048
69,146,0.2158,20.786,21.0029
69,147,0.1981,20.83,21.0292
69,148,0.2195,21.1246,21.345
69,149,0.1975,21.033,21.2316
69,150,0.2369,22.1536,22.3915
69,151,0.2116,20.1377,20.3502
69,152,0.1942,20.5495,20.7447
69,153,0.18,20.4978,20.6787
69,154,0.179,20.0952,20.2753
69,155,0.1891,20.9012,21.0913
69,156,0.1826,21.1721,21.3555
69,157,0.2322,20.4999,20.7333
69,158,0.151,20.7513,20.9033
69,159,0.1797,20.2722,20.4528
69,160,0.1562,21.3188,21.476
69,161,0.1862,20.9669,21.1542
69,162,0.2405,20.3722,20.6141
69,163,0.168,20.5271,20.696
69,164,0.1812,20.3463,20.5285
69,165,0.1695,20.6095,20.78
69,166,0.1761,21.0232,21.2003
69,167,0.1908,20.3029,20.4946
69,168,0.1604,20.8759,21.0375
69,169,0.182,20.2964,20.4793
69,170,0.1841,20.5292,20.7142
69,171,0.1674,20.7483,20.9168
69,172,0.2507,20.4674,20.7193
69,173,0.2363,22.0422,22.2799
69,174,0.2926,20.6938,20.9879
69,175,0.2101,20.2792,20.4902
69,176,0.2031,20.2651,20.4692
69,177,0.1759,20.179,20.3559
69,178,0.2073,20.0297,20.2383
69,179,0.1539,21.041,21.1959
