controller,pv_generation_scale,pv_s_scale,svc_q_scale,cap_total_mvar,asset_cost_index,stage,pr_violation_any,pr_pf_fail_any,daily_loss_mwh,daily_pv_energy_mwh,feasible
film,1.2,0.699999988079071,1.100000023841858,0.25,90.50000059604645,coarse,0.5,0.0,1.1322149180330268,37.77214993664312,0
film,1.2,0.699999988079071,1.5,0.25,110.49999940395355,coarse,1.0,0.0,1.5361109759376763,37.77214993664312,0
film,1.2,1.100000023841858,0.699999988079071,0.25,90.50000059604645,coarse,0.0,0.0,1.0056270771206108,37.77214993664312,1
film,1.2,1.100000023841858,1.100000023841858,0.25,110.50000238418579,coarse,0.0,0.0,1.1890250026532687,37.77214993664312,1
film,1.2,1.100000023841858,1.5,0.25,130.5000011920929,coarse,0.0,0.0,1.5920087357336432,37.77214993664312,1
film,1.2,1.5,0.699999988079071,0.25,110.49999940395355,coarse,0.0,0.0,1.0783621969632924,37.77214993664312,1
film,1.2,1.5,1.100000023841858,0.25,130.5000011920929,coarse,0.0,0.0,1.2623108924810071,37.77214993664312,1
film,1.2,1.5,1.5,0.25,150.5,coarse,0.0,0.0,1.6640952603793555,37.77214993664312,1
film,1.2,0.699999988079071,0.699999988079071,0.0,69.9999988079071,refined,0.3,0.0,0.9845731877511239,38.10974205460522,0
film,1.2,0.699999988079071,0.699999988079071,0.25,70.4999988079071,refined,0.3,0.0,0.9589029078589512,38.10974205460522,0
droop,1.2,0.699999988079071,0.699999988079071,0.0,69.9999988079071,coarse,1.0,1.0,8.084748801509843,4.4978210883846605,0
droop,1.2,0.699999988079071,1.100000023841858,0.0,90.00000059604645,coarse,1.0,1.0,8.452017780981565,4.4978210883846605,0
droop,1.2,0.699999988079071,1.5,0.0,109.99999940395355,coarse,1.0,1.0,8.91752147888805,4.4978210883846605,0
droop,1.2,1.100000023841858,0.699999988079071,0.0,90.00000059604645,coarse,1.0,1.0,0.078408902267823,0.267659296442499,0
droop,1.2,1.100000023841858,1.100000023841858,0.0,110.00000238418579,coarse,1.0,1.0,0.107803753335898,0.267659296442499,0
droop,1.2,1.100000023841858,1.5,0.0,130.0000011920929,coarse,1.0,1.0,0.14676517135382677,0.267659296442499,0
droop,1.2,1.5,0.699999988079071,0.0,109.99999940395355,coarse,1.0,1.0,0.12784618146849827,0.267659296442499,0
droop,1.2,1.5,1.100000023841858,0.0,130.0000011920929,coarse,1.0,1.0,0.1599637225390197,0.267659296442499,0
droop,1.2,1.5,1.5,0.0,150.0,coarse,1.0,1.0,0.20153748129840318,0.267659296442499,0
droop,1.2,0.699999988079071,0.699999988079071,0.25,70.4999988079071,coarse,1.0,1.0,14.695668197370445,8.040659897084007,0
droop,1.2,0.699999988079071,1.100000023841858,0.25,90.50000059604645,coarse,1.0,1.0,15.35978280928332,8.040659897084007,0
