job_index,pv_s_scale,svc_q_scale,cap_total_mvar,t0,risk,under_risk,over_risk,viol_rate,under_steps,over_steps,pf_fail,loss_mean_mw,energy_mwh,vmin,vmax
660,0.699999988079071,0.699999988079071,0.4940143227577209,17764,0,0,0,0.0,0,0,0,0.03794307414155371,0.9106337793972892,0.9577968076079544,1.0326066908510014
661,1.2891924381256104,1.4514955282211304,0.7973015308380127,1199,0,0,0,0.0,0,0,0,0.0887414594824119,2.1297950275778854,0.9712345524309048,1.0328722135296473
662,1.250064253807068,1.2645249366760254,0.435450792312622,12914,0,0,0,0.0,0,0,0,0.0691740331109985,1.6601767946639638,0.9671724725811868,1.0269190020169872
663,1.5,0.699999988079071,0.7514573335647583,12514,0,0,0,0.0,0,0,0,0.05987670498145523,1.4370409195549256,0.9590328198385156,1.0261772381749728
664,1.387460231781006,0.9172834157943726,0.6141605377197266,13372,0,0,0,0.0,0,0,0,0.06011576270337707,1.4427783048810496,0.9621810030389835,1.0256355862798183
665,1.4411239624023438,1.373979926109314,0.1369321942329406,5089,0,0,0,0.0,0,0,0,0.07605896674841592,1.825415201961982,0.9708669024675387,1.0287130487502478
666,1.5,0.699999988079071,0.6261001229286194,2509,0,0,0,0.0,0,0,0,0.05875877221518879,1.410210533164531,0.9608577926217595,1.025352144580163
667,0.816349446773529,0.9586212635040284,0.2261250764131546,20301,0,0,0,0.0,0,0,0,0.04385994646732553,1.0526387152158128,0.956951641188023,1.023866590793682
668,1.0097867250442505,0.8460034132003784,0.407779723405838,25595,0,0,0,0.0,0,0,0,0.045540110643354746,1.0929626554405139,0.9602441310574784,1.0233098362215087
669,1.5,0.699999988079071,0.4260149300098419,18357,0,0,0,0.0,0,0,0,0.05637662437750784,1.353038985060188,0.9570756293308852,1.0248186371651453
670,0.699999988079071,1.5,0.7714874744415283,7782,0,0,0,0.0,0,0,0,0.07853379093814883,1.8848109825155719,0.9718330134800445,1.034233669186468
671,1.5,1.5,0.0644005313515663,13452,0,0,0,0.0,0,0,0,0.08455727693675552,2.0293746464821325,0.9719774236425551,1.0321451193124678
672,1.5,0.699999988079071,0.6055558919906616,19773,0,0,0,0.0,0,0,0,0.05789784376179941,1.389548250283186,0.9612773553188515,1.0262127972284927
673,0.699999988079071,1.5,0.9337405562400818,5486,0,0,0,0.0,0,0,0,0.08225168850691032,1.9740405241658476,0.9757237873369077,1.036846357572967
674,0.7783319354057312,1.4639450311660769,0.2125851809978485,5221,0,0,0,0.0,0,0,0,0.06722325853795458,1.6133582049109099,0.9681170657974354,1.030460467862462
675,1.5,1.5,0.8185414671897888,34729,0,0,0,0.0,0,0,0,0.09754868723126298,2.3411684935503114,0.9763134971772001,1.0338305463126438
676,1.1714342832565308,1.3364381790161133,0.2689265608787536,2788,0,0,0,0.0,0,0,0,0.06955198670615254,1.6692476809476609,0.9685660741745905,1.028118932550453
