scorest,violation_sum_st,grid_loss_sum_st,pf_fail_sum_st,stage
-4.315992975388735,0.0,-4.315992975388735,0.0,2
-4.338960067948957,0.0,-4.338960067948957,0.0,2
-4.110200520190894,0.0,-4.110200520190894,0.0,2
-4.121707478473901,0.0,-4.121707478473901,0.0,2
-4.259812712339964,0.0,-4.259812712339964,0.0,2
-4.353891901737406,0.0,-4.353891901737406,0.0,2
-4.063510849978085,0.0,-4.063510849978085,0.0,2
-4.0157626360209315,0.0,-4.0157626360209315,0.0,2
-3.9437368088396716,0.0,-3.9437368088396716,0.0,2
-4.233425033011913,0.0,-4.233425033011913,0.0,2
-3.9403649056495613,0.0,-3.9403649056495613,0.0,2
-4.153781960835154,0.0,-4.153781960835154,0.0,2
-4.546495116544463,0.0,-4.546495116544463,0.0,2
-4.062739520344609,0.0,-4.062739520344609,0.0,2
-4.48508444042306,0.0,-4.48508444042306,0.0,2
-4.041833605533947,0.0,-4.041833605533947,0.0,2
-3.892798455994014,0.0,-3.892798455994014,0.0,2
-4.455348549385393,0.0,-4.455348549385393,0.0,2
-4.567449084733612,0.0,-4.567449084733612,0.0,2
-3.9349203267431028,0.0,-3.9349203267431028,0.0,2
-3.8666719634946864,0.0,-3.8666719634946864,0.0,2
-4.192737930764062,0.0,-4.192737930764062,0.0,2
-4.115523945336346,0.0,-4.115523945336346,0.0,2
-4.092937178389859,0.0,-4.092937178389859,0.0,2
-4.567400880936626,0.0,-4.567400880936626,0.0,2
-4.2197894154435245,0.0,-4.2197894154435245,0.0,2
-4.030999043225582,0.0,-4.030999043225582,0.0,2
-3.9321304428691195,0.0,-3.9321304428691195,0.0,2
-4.01713704038067,0.0,-4.01713704038067,0.0,2
-3.954560185721071,0.0,-3.954560185721071,0.0,2
-4.111434445196562,0.0,-4.111434445196562,0.0,2
-4.345416883079087,0.0,-4.345416883079087,0.0,2
-4.503672060559743,0.0,-4.503672060559743,0.0,2
-4.0075709441400384,0.0,-4.0075709441400384,0.0,2
-4.282084629305461,0.0,-4.282084629305461,0.0,2
-4.388464191246967,0.0,-4.388464191246967,0.0,2
-4.012440266204239,0.0,-4.012440266204239,0.0,2
-4.2420235728077245,0.0,-4.2420235728077245,0.0,2
-4.300802693136139,0.0,-4.300802693136139,0.0,2
-3.839854218587863,0.0,-3.839854218587863,0.0,2
-4.24594963064683,0.0,-4.24594963064683,0.0,2
-4.0266143804118135,0.0,-4.0266143804118135,0.0,2
-4.016614205128903,0.0,-4.016614205128903,0.0,2
-4.125537474605806,0.0,-4.125537474605806,0.0,2
-3.874500241260123,0.0,-3.874500241260123,0.0,2
-4.297285218781454,0.0,-4.297285218781454,0.0,2
-3.8495211850813384,0.0,-3.8495211850813384,0.0,2
-4.317074816078939,0.0,-4.317074816078939,0.0,2
-3.862733245332452,0.0,-3.862733245332452,0.0,2
-4.019163408123547,0.0,-4.019163408123547,0.0,2
-3.9505332620737508,0.0,-3.9505332620737508,0.0,2
-4.007529840200288,0.0,-4.007529840200288,0.0,2
-4.018601416085059,0.0,-4.018601416085059,0.0,2
-4.102262748241776,0.0,-4.102262748241776,0.0,2
-4.240163222075711,0.0,-4.240163222075711,0.0,2
-3.876982082736502,0.0,-3.876982082736502,0.0,2
-4.228596399391357,0.0,-4.228596399391357,0.0,2
-4.03818670528732,0.0,-4.03818670528732,0.0,2
-3.9735608718052617,0.0,-3.9735608718052617,0.0,2
-3.9112579735312254,0.0,-3.9112579735312254,0.0,2
-4.05338050571132,0.0,-4.05338050571132,0.0,2
-4.277536839079064,0.0,-4.277536839079064,0.0,2
-4.105965668040888,0.0,-4.105965668040888,0.0,2
-3.8818062444329406,0.0,-3.8818062444329406,0.0,2
-4.121580668490864,0.0,-4.121580668490864,0.0,2
-3.804092881169869,0.0,-3.804092881169869,0.0,2
-4.120839762377637,0.0,-4.120839762377637,0.0,2
-3.9647106613348826,0.0,-3.9647106613348826,0.0,2
-6.457616655595426,0.0,-6.457616655595426,0.0,3
-5.287047459260191,0.0,-5.287047459260191,0.0,3
-5.735048960354822,0.0,-5.735048960354822,0.0,3
-3.8222548138660475,0.0,-3.8222548138660475,0.0,3
-5.503329951120454,0.0,-5.503329951120454,0.0,3
-3.912528340589646,0.0,-3.912528340589646,0.0,3
-3.7733259370843575,0.0,-3.7733259370843575,0.0,3
-4.227962856341615,0.0,-4.227962856341615,0.0,3
-4.351953754675197,0.0,-4.351953754675197,0.0,3
-4.140416033790689,0.0,-4.140416033790689,0.0,3
-4.784378813807067,0.0,-4.784378813807067,0.0,3
-3.9453296311854333,0.0,-3.9453296311854333,0.0,3
-6.466284277537834,0.0,-6.466284277537834,0.0,3
-5.141216573930239,0.0,-5.141216573930239,0.0,3
