day,event,under_steps,over_steps,pf_fail,solver_failures,minimum_voltage_pu,maximum_voltage_pu,line_loss_mwh,absolute_reactive_throughput_mvarh,maximum_absolute_reactive_command_mvar,mean_online_optimisation_ms,p95_online_optimisation_ms
34,0,0,0,0,0,0.9521826414693005,1.0,2.1503598426071755,19.466063305901812,0.75,0.8517437501798971,1.4631249996455153
35,0,0,0,0,0,0.9521531566517814,1.0008328371087054,2.1526116150587034,20.08179818450287,0.75,0.7733197916195422,1.4394250001714681
36,0,0,0,0,0,0.951949469632023,1.0,2.2493446352526343,21.953288819304138,0.7755378671417746,0.7186718748926069,1.3678749983228045
37,0,0,0,0,0,0.9520860226486125,1.0,2.238353774232644,21.705770759120206,0.75,0.724414583298009,1.353450000351586
39,0,0,0,0,0,0.9527820007994391,1.0,1.7962331598746482,10.333010568265635,0.4724513240341045,0.8966958334137113,1.506999998127867
40,0,0,0,0,0,0.9527577052607112,1.0,1.6536704090509555,6.392374769475763,0.40656902095608877,0.8977874998663538,1.5805999992153374
41,0,0,0,0,0,0.9524639455324702,1.0,2.1222437190237002,18.81133140873366,0.75,0.8553927083312374,1.4773249995414517
42,0,0,0,0,0,0.9524423095062989,1.004458946607772,2.03824313153474,17.66409260325383,0.75,0.78120833321312,1.5164749984251102
43,0,0,0,0,0,0.9521018416812914,1.005642350997503,2.105476706977529,19.040349363839265,0.75,0.7618541666640036,1.4492499994958052
44,0,0,0,0,0,0.9520172017757541,1.0,2.475632692280473,26.0385461029547,0.8184179297914324,0.6241291663021306,1.3576000001194188
45,0,0,0,0,0,0.9526067325440547,1.0011019257321727,2.071093630179648,18.503100787656006,0.7364533047153415,0.7803614583205368,1.441099999283324
46,0,0,0,0,0,0.9527623438531206,1.0,1.7506786964583771,9.487959968585107,0.46056108255818207,0.8811802083528164,1.511325000137731
47,0,0,0,0,0,0.9528011084902749,1.0011700361619813,1.5660502751124932,4.541464415778248,0.3750465619945258,0.8335125001697937,1.4437500003623427
48,0,0,0,0,0,0.9523395692639774,1.0,2.089722601341744,18.394633861874627,0.75,0.9025822917010373,1.5945749983075075
49,0,0,0,0,0,0.9522621899693572,1.0005992689336707,2.1209577608596244,19.457456159690835,0.75,0.826827083377187,1.4330500007417868
50,0,0,0,0,0,0.9523263212294395,1.0032680960876907,2.0562012235113416,18.206625306046288,0.75,0.8239156250814025,1.4976000002207002
51,0,0,0,0,0,0.9521644816062255,1.0023958805651774,2.0809745216373656,18.893414924715465,0.75,0.7369354163226186,1.3959499992779456
52,0,0,0,0,0,0.9523953323735841,1.004429869636165,2.033574762094551,17.9000323669555,0.75,0.7694958331588472,1.4288749998740968
53,0,0,0,0,0,0.9527534558935373,1.0051155078119598,1.696017141254982,8.22279429822409,0.4958710027089258,0.8674708334031797,1.3858249994882499
54,0,0,0,0,0,0.9527647038624092,1.0070768189217294,1.6126848745442428,4.849600644015275,0.4459135277620077,0.7371062498577885,1.4816499997323263
55,0,0,0,0,0,0.9516641799349214,1.0011939329140183,2.278092870242343,22.55924967123437,1.1048162697655002,0.7511802082262875,1.436824999473174
56,0,0,0,0,0,0.9517311804295583,1.0029974467462917,2.3111143886791172,23.959377558908038,1.0110094171458452,0.6937479168982463,1.3534250010707183
57,0,0,0,0,0,0.9516212268738384,1.0038039269920638,2.3731152504574697,24.8036776212868,1.2063185130486607,0.6766854168821131,1.3315500009412062
58,0,0,0,0,0,0.9518097046751568,1.0047251701494713,2.287752061969665,23.418284178068397,0.9612960758737752,0.6905906252162216,1.352624999526597
59,0,0,0,0,0,0.9520753273876279,1.0037528869264116,2.2248211529163755,22.567634957002333,0.7539688671372232,0.6933593749636202,1.3267250024000532
60,0,0,0,0,0,0.9527068156739733,1.0021433034426899,1.7520217595902943,10.638435737624588,0.46670082450256484,0.7996177081774173,1.381250000122236
61,0,0,0,0,0,0.9527941238047077,1.0060410927408738,1.583796967879084,4.587829273425501,0.41173163755023606,0.8655864584170558,1.419174999682582
62,0,0,0,0,0,0.9525918231838717,1.0041266097947605,1.9336130729942687,15.228046528084592,0.7351883948695779,0.9034989583369679,1.59022499974526
63,0,0,0,0,0,0.9525750831352333,1.0009542016753104,1.9984775596530053,16.89789838759541,0.75,0.8667031250600606,1.5330249998442014
64,0,0,0,0,0,0.9521831274858584,1.0,2.117738112589335,19.14703411865444,0.75,0.8438624999295522,1.4766000012969016
65,0,0,0,0,0,0.9521597299817534,1.0024224728696247,2.058202169626382,18.533673614027208,0.75,0.8121645831048833,1.3950500015198486
66,0,0,0,0,0,0.9526250344756264,1.000348311754099,2.0445711602666554,18.14503486196578,0.7349470462164222,0.847988541598473,1.390825000271434
67,0,0,0,0,0,0.9528011853071852,1.0000114295030582,1.6337143392756983,6.576633218537105,0.41241670062338714,0.911604166806986,1.4950500017221202
68,0,0,0,0,0,0.9528541896239088,1.002591753459805,1.4199344409045012,2.4039358079684248,0.3228347557329542,0.5495874999041916,1.4043000001038308
69,0,0,0,0,0,0.9523885364401018,1.0,2.0206312882101907,16.77676410143809,0.75,0.8490104166109328,1.5485500016438891
70,0,0,0,0,0,0.9521023947931576,1.0,2.1400902585625667,19.564103083482237,0.75,0.8251645835268088,1.5339499996116501
71,0,0,0,0,0,0.9525994022012779,1.0,2.0092403170273947,17.139391371026246,0.737346884254471,0.8254166668469528,1.5994999994290993
72,0,0,0,0,0,0.95203410919326,1.0037465320320182,2.038557287030124,18.209166514090086,0.75,0.8440281251675211,1.479724998716847
73,0,0,0,0,0,0.9523331175505205,1.0,2.160314421903088,20.051188982518774,0.75,0.8145364582029894,1.4553250002791174
74,0,0,0,0,0,0.9527443447838401,1.0,1.8228328459076624,12.183293370060012,0.5534702407553406,0.8047250000421021,1.4649250006186776
75,0,0,0,0,0,0.9527848040841957,1.0021554850511003,1.6633970887786111,7.654255472236649,0.47020066540975997,0.829058333276104,1.3123999997333158
76,0,0,0,0,0,0.952057743142701,1.0040514335710633,2.0426927741834446,18.436114664412234,0.75,0.7658708333337927,1.4634999997724663
78,0,0,0,0,0,0.9520025285725137,1.005650152750245,2.0573933180825694,18.86000499832798,0.75,0.763335416498497,1.4670999989903066
79,0,0,0,0,0,0.9521102182826121,1.0,2.2411313641019084,22.23297524910698,0.75,0.6884031248546307,1.3988749988129712
80,0,0,0,0,0,0.9526216159804571,1.0,2.1383467703800285,19.514501840979634,0.75,0.8013572917207057,1.437049998457951
81,0,0,0,0,0,0.9528161918340149,1.0068065330560665,1.6051642802459782,4.506872501202074,0.3757378149579133,0.8703749999388796,1.5041750002637855
82,0,0,0,0,0,0.9528871983407387,1.009569402175822,1.4271410880399584,2.274356203120131,0.2738636069123241,0.5069041664379862,1.3812750003125984
83,0,0,0,0,0,0.9526740732423069,1.0,1.950571294633928,15.845008820277213,0.6744324176648075,0.8997385419888815,1.5161249993980164
84,0,0,0,0,0,0.9526928294939698,1.0038370174401203,1.878739545171888,14.457993446784716,0.6349600303190523,0.8811312498361682,1.537075001579069
86,0,0,0,0,0,0.9526635934888144,1.0016415546795343,1.878616935759192,14.713991600198828,0.6857692581429309,0.8343145833199136,1.5442750009242445
87,0,0,0,0,0,0.9529081950666487,1.008227384836716,1.4401146504065991,1.5561555148254398,0.20447973706619638,0.5750770833780431,1.4287500007412746
88,0,0,0,0,0,0.9529221013149162,1.001594580331942,1.4497667734139252,2.2727502730328815,0.18908859964001476,0.7373822916936964,1.3758249988313764
89,0,0,0,0,0,0.9529487038182824,1.0020075559354737,1.2960152918572998,0.6811158479816459,0.08962656751542097,0.5116854167681595,1.540150001346774
90,0,0,0,0,0,0.9529131294371631,1.0087066463095906,1.274469498102176,0.9286133406515574,0.1499616786288886,0.4546260416115426,1.5015499984656344
91,0,0,0,0,0,0.9527655400259157,1.006141014885326,1.7570969317373402,11.223590126806805,0.5573798072698362,0.877738541475992,1.557649999995192
92,0,0,0,0,0,0.9527114853140956,1.0057722476497244,1.7997248178735872,12.374665369411309,0.6046044215452877,0.9411958332824119,1.5958000003593042
93,0,0,0,0,0,0.9526696395741222,1.0008992436204038,1.9146721409261787,15.840813502062016,0.6236370056170515,0.8535031251994951,1.4563749991793884
94,0,0,0,0,0,0.9527262838240698,1.0112255377457073,1.8448028892458075,9.701910493933445,0.5531123903191024,0.9498489583090001,1.5598250010953052
95,0,0,0,0,0,0.9529074636001772,1.0118777476693173,1.5686226536564833,2.097347885831657,0.18848602998952207,0.7310708333913377,1.5214000022751861
96,0,0,0,0,0,0.9529126146137746,1.0123875471037687,1.323789028323155,1.0227275180839221,0.17981057180614102,0.40897708337676403,1.430749998689862
97,0,0,0,0,0,0.9527722871786989,1.0056867132348963,1.6786594785668236,9.76801350131259,0.4843493154169933,0.792018750000049,1.5381000011984725
98,0,0,0,0,0,0.9527363006387256,1.00677002207643,1.791382089632402,11.756124179122796,0.5596426993834162,0.9180708331844775,1.552899999296642
99,0,0,0,0,0,0.9527019233406995,1.005680885793749,1.8155746746113917,12.926036884411289,0.6234883775220034,0.923185416392395,1.602924998223898
100,0,0,0,0,0,0.9527607081320659,1.005304077689593,1.796949337792898,12.518824270584703,0.574998543445944,0.9348270832182001,1.5542499986622715
101,0,0,0,0,0,0.9527020019332216,1.0002190522761292,1.8363302292779318,13.476110781229119,0.627826291963523,0.9338375003077696,1.7820749981183326
