scores,violation_sum_s,grid_loss_sum_s,pf_fail_sum_s
-8.428007560039765,1.0,-6.636976281830667,0.0
-8.939358808933136,1.0,-5.647538374759005,0.0
-10.887309466828066,2.0,-7.255717026520379,0.0
-11.397769956674091,3.0,-5.9205040331539305,0.0
-9.98258873648605,3.0,-6.601891471291551,0.0
-11.684200576075947,2.0,-6.948328076311484,0.0
-10.370458998430957,6.0,-5.425175848239556,0.0
-6.797928996284098,1.0,-6.630164820351048,0.0
-4.410540676653803,0.0,-4.410540676653803,0.0
-7.242970659709509,3.0,-5.009694687562846,0.0
-6.084470659660958,0.0,-6.084470659660958,0.0
-10.722207819924213,3.0,-8.248000273256185,0.0
-8.521504655705856,1.0,-6.990734852509973,0.0
-7.039973982336368,1.0,-6.924043578728612,0.0
-6.9918120517883,2.0,-5.833850428991102,0.0
-4.92220235691592,0.0,-4.92220235691592,0.0
-37.861664776526695,6.0,-9.101366990161626,0.0
-6.473583410829297,0.0,-6.473583410829297,0.0
-11.141371870014364,3.0,-6.63250668629281,0.0
-8.462019676435148,1.0,-6.856843973644286,0.0
-8.33738746297363,1.0,-6.503032540919239,0.0
-8.074231534555683,2.0,-5.067678503818858,0.0
-4.253851094038153,0.0,-4.253851094038153,0.0
-4.725127352542135,0.0,-4.725127352542135,0.0
-5.1719883788956365,0.0,-5.1719883788956365,0.0
-7.765945744737948,0.0,-7.765945744737948,0.0
-10.452900588153254,3.0,-6.723061609122137,0.0
-41.60543686436448,6.0,-6.495385355978981,0.0
-8.570261570345055,1.0,-8.097262975170917,0.0
-6.7624481546507,2.0,-5.949435250716116,0.0
-9.860255802786535,2.0,-8.264494633248454,0.0
-8.984444870855611,3.0,-7.244442843340871,0.0
-6.531910932829334,1.0,-5.777345755668897,0.0
-9.573745752676198,2.0,-4.7737505069246335,0.0
-5.039510978087394,2.0,-4.565450815294561,0.0
-10.481157055991645,1.0,-6.270119026351927,0.0
-6.502837775826829,0.0,-6.502837775826829,0.0
-7.5840822424681305,2.0,-6.99808513114734,0.0
-6.753301505523027,2.0,-5.288134258465844,0.0
-5.553100029379534,0.0,-5.553100029379534,0.0
-7.450410626551929,1.0,-5.402264750868212,0.0
-8.78626237098863,2.0,-5.8185339805247835,0.0
-5.9349513993283285,0.0,-5.9349513993283285,0.0
-7.05125057420158,1.0,-6.672464029258727,0.0
-9.749205053989503,3.0,-4.710378717505723,0.0
-16.277288674031155,4.0,-6.725610867316221,0.0
-7.66087627726083,1.0,-7.025818951458031,0.0
