candidate_id,pv_s_scale,svc_q_scale,cap_total_mvar,pv_nameplate_mva,svc_nameplate_mvar,evaluated_days,event_days,pf_fail_days,projection_failure_steps,mean_daily_loss_mwh,max_daily_loss_mwh,mean_intervention_rate,max_intervention_rate,worst_vmin,worst_vmax,risk_hat,risk_upper_95,selection_eligible,pareto
126,0.45,1.3125,0.25,6.037383539249433,2.625,17,0,0,0,1.4555286864715489,2.664687709956258,0.0,0.0,0.955568044880995,1.0170666202172114,0.0,0.16156611126074,True,True
127,0.45,1.3125,0.5,6.037383539249433,2.625,17,0,0,0,1.4525757923218467,2.6550382296323063,0.0,0.0,0.9560503409608244,1.0187142541938417,0.0,0.16156611126074,True,True
128,0.45,1.3125,0.75,6.037383539249433,2.625,17,0,0,0,1.47732593313063,2.659478762224513,0.0,0.0,0.9563956543411042,1.0202924200029415,0.0,0.16156611126074,True,False
129,0.45,1.3125,1.0,6.037383539249433,2.625,17,0,0,0,1.533048325166516,2.697071245765564,0.0,0.0,0.9566417446348966,1.0218019729233625,0.0,0.16156611126074,True,False
130,0.45,1.5,0.0,6.037383539249433,3.0,17,0,0,0,1.479178582258992,2.6663174821870785,0.0,0.0,0.9548507495931182,1.0152940674835085,0.0,0.16156611126074,True,False
131,0.45,1.5,0.25,6.037383539249433,3.0,17,0,0,0,1.4541209894036045,2.651935765224529,0.0,0.0,0.9555666909683704,1.017016015188204,0.0,0.16156611126074,True,True
132,0.45,1.5,0.5,6.037383539249433,3.0,17,0,0,0,1.451246465520863,2.642775171011258,0.0,0.0,0.9559535613366282,1.018589005329435,0.0,0.16156611126074,True,True
133,0.45,1.5,0.75,6.037383539249433,3.0,17,0,0,0,1.475523292293464,2.6451494716872817,0.0,0.0,0.9561793697392552,1.0201609489205388,0.0,0.16156611126074,True,False
134,0.45,1.5,1.0,6.037383539249433,3.0,17,0,0,0,1.5303327745480304,2.6767409459982847,0.0,0.0,0.9563164606823984,1.0216945615014572,0.0,0.16156611126074,True,False
145,0.6,0.375,0.0,8.049844718999243,0.75,17,0,0,0,1.488604365619878,2.7013352887967503,0.0,0.0,0.952408772872032,1.0150476460059124,0.0,0.16156611126074,True,True
146,0.6,0.375,0.25,8.049844718999243,0.75,17,0,0,0,1.4604867985176968,2.699219771032559,0.0,0.0,0.9534258766497128,1.017074324624749,0.0,0.16156611126074,True,False
