candidate_id,worst_seed_risk,mean_seed_risk,worst_seed_pf_fail_rate,mean_daily_loss_mwh,maximum_seed_loss_mwh,mean_intervention_rate,projection_failure_steps,worst_vmin,worst_vmax,raw_worst_vmin,raw_worst_vmax,pv_s_scale,svc_q_scale,cap_total_mvar,selection_role,resource_index,robust_feasible
1629,0.0,0.0,0.0,1.3829735763651299,1.488725638856535,0.0,0,0.960209311966958,1.0367107300766267,0.960209311966958,1.0367107300766267,0.7421052631578947,1.0789473684210527,1.0,grid,93.05263157894737,1
1630,0.0,0.0,0.0,1.4386731354570077,1.5543258852195556,0.0,0,0.9610723913391928,1.0367799574355991,0.9610723913391928,1.0367799574355991,0.7421052631578947,1.1210526315789473,1.0,grid,95.1578947368421,1
1631,0.0,0.0,0.0,1.4971394618267426,1.6229686720697416,0.0,0,0.9619335299293432,1.0368781111150889,0.9619335299293432,1.0368781111150889,0.7421052631578947,1.163157894736842,1.0,grid,97.26315789473682,1
1632,0.0,0.0,0.0,1.5583545883793448,1.6946273855373157,0.0,0,0.9627930391870088,1.037103211471453,0.9627930391870088,1.037103211471453,0.7421052631578947,1.2052631578947368,1.0,grid,99.36842105263158,1
1633,0.0,0.0,0.0,1.622281191734934,1.769223178884485,0.0,0,0.9636502112328844,1.0373565577848065,0.9636502112328844,1.0373565577848065,0.7421052631578947,1.2473684210526317,1.0,grid,101.47368421052632,1
1634,0.0,0.0,0.0,1.6889098391991315,1.8466953443263978,0.0,0,0.9645010233163042,1.0376227362547006,0.9645010233163042,1.0376227362547006,0.7421052631578947,1.289473684210526,1.0,grid,103.57894736842104,1
1635,0.0,0.0,0.0,1.7582487481681948,1.9269962473261513,0.0,0,0.9653487485563864,1.0378872480627352,0.9653487485563864,1.0378872480627352,0.7421052631578947,1.331578947368421,1.0,grid,105.68421052631578,1
1636,0.0,0.0,0.0,1.8302870706527203,2.010088000482874,0.0,0,0.966193813460088,1.0381639852861562,0.966193813460088,1.0381639852861562,0.7421052631578947,1.3736842105263158,1.0,grid,107.78947368421052,1
1637,0.0,0.0,0.0,1.9050532466238235,2.0959942139603847,0.0,0,0.9670352199211611,1.0390085077368705,0.9670352199211611,1.0390085077368705,0.7421052631578947,1.4157894736842105,1.0,grid,109.89473684210526,1
1638,0.0,0.0,0.0,1.9825128994244887,2.1846799277582396,0.0,0,0.9678734077129164,1.0402134510985055,0.9678734077129164,1.0402134510985055,0.7421052631578947,1.4578947368421051,1.0,grid,112.0,1
1639,0.0,0.0,0.0,2.0626553967727226,2.2761381837732095,0.0,0,0.9687089633068444,1.0414252949782723,0.9687089633068444,1.0414252949782723,0.7421052631578947,1.5,1.0,grid,114.10526315789474,1
1640,0.0,0.0,0.0,1.0215254765395096,1.0911809427311343,0.0,0,0.9514167312355148,1.0344846064960989,0.9514167312355148,1.0344846064960989,0.7842105263157895,0.7,1.0,grid,76.21052631578948,1
1641,0.0,0.0,0.0,1.05113575770914,1.1195330668279144,0.0,0,0.952610045233972,1.0345642270872333,0.952610045233972,1.0345642270872333,0.7842105263157895,0.7421052631578947,1.0,grid,78.3157894736842,1
1642,0.0,0.0,0.0,1.0838203095406473,1.1505823828036876,0.0,0,0.9537936221437427,1.0346504340409042,0.9537936221437427,1.0346504340409042,0.7842105263157895,0.7842105263157895,1.0,grid,80.42105263157895,1
1643,0.0,0.0,0.0,1.1195269699483414,1.184266798626621,0.0,0,0.9549735309934868,1.0347414443515044,0.9549735309934868,1.0347414443515044,0.7842105263157895,0.8263157894736841,1.0,grid,82.52631578947367,1
1644,0.0,0.0,0.0,1.1581869499758766,1.2206651117356484,0.0,0,0.9559198509090464,1.0348326215782884,0.9559198509090464,1.0348326215782884,0.7842105263157895,0.8684210526315789,1.0,grid,84.63157894736841,1
1645,0.0,0.0,0.0,1.1997126598661991,1.264989402275727,0.0,0,0.9568434249002372,1.034921180550088,0.9568434249002372,1.034921180550088,0.7842105263157895,0.9105263157894736,1.0,grid,86.73684210526315,1
1646,0.0,0.0,0.0,1.2440755656079785,1.3177580848003034,0.0,0,0.9577599236810947,1.0349938022280702,0.9577599236810947,1.0349938022280702,0.7842105263157895,0.9526315789473684,1.0,grid,88.84210526315789,1
1647,0.0,0.0,0.0,1.2912644304724896,1.3737365983687528,0.0,0,0.95867148911229,1.0350602733758187,0.95867148911229,1.0350602733758187,0.7842105263157895,0.9947368421052631,1.0,grid,90.94736842105263,1
1648,0.0,0.0,0.0,1.3412954279873937,1.4329019883815892,0.0,0,0.9595611413343944,1.0351171797167766,0.9595611413343944,1.0351171797167766,0.7842105263157895,1.0368421052631578,1.0,grid,93.05263157894737,1
1649,0.0,0.0,0.0,1.3941546513802805,1.4952243050776681,0.0,0,0.960429349011936,1.0351546634393205,0.960429349011936,1.0351546634393205,0.7842105263157895,1.0789473684210527,1.0,grid,95.15789473684211,1
