pair_id,scenario_index,delta_daily_loss_mwh,delta_mean_ext_grid_q_mvar,delta_mean_branch_abs_q_flow_mvar,delta_mean_line_current_squared_ka2,delta_mean_pv_absorption_mvar,delta_mean_svc_q_mvar,delta_worst_vmin,delta_worst_vmax
0,56,-0.023552574630890444,-0.2467005498720543,-0.9037613197408287,-0.0009524838515457199,0.0025731519296943867,0.028814425691962242,0.0018917200620589547,0.001622252574241534
0,57,-0.03731251474452457,-0.27395164758224827,-1.1325642229530484,-0.0014643388661530199,-0.00011790843188182881,0.03474224514017504,0.0015828397378289116,0.0016741511473457038
0,58,-0.040900675817085785,-0.273904393705077,-1.1853383849623302,-0.0015497717781917837,-4.297668492242446e-05,0.03217167376230157,0.0017778079821594295,0.00216803698557122
0,59,-0.02499303248475604,-0.2500333101708711,-0.9028441046195281,-0.0010105064971706462,0.0024518720843307654,0.028666898918648598,0.0018714735738635246,0.0016214535370953076
0,60,-0.028506247670045948,-0.2517523701078132,-0.9343929754135685,-0.0011240490992585062,0.001748939473371125,0.02636871300637722,0.001843931704924029,0.0016529666694464762
0,61,-0.02676612423691349,-0.24983756358447923,-0.9610923008104919,-0.0010561622702532844,0.0019703680448651326,0.030057997442781925,0.0019457556493133188,0.0015607392508154572
0,62,-0.03400300831914249,-0.26249982450370657,-1.1510750335827167,-0.0013047692732942873,0.0005402292454720903,0.03772674097369111,0.0016126726234361177,0.00033978668177536697
0,63,-0.03667155127242694,-0.2655042689463653,-1.2397478042693866,-0.0013891603413784467,0.00041678745431494163,0.034962667462726416,0.0016452867546327132,0.0
0,64,-0.02277298077641854,-0.2420707253063122,-0.9024557490909189,-0.0008792381857181467,0.004274020635905401,0.029234919386605385,0.0019828528541192547,0.0006047162279196883
0,65,-0.02352153083555164,-0.24361584893579352,-0.9114712351575376,-0.0009084292298568511,0.004198679554371532,0.03236458357423544,0.0019486290259433936,0.0015443523692482142
0,66,-0.02191665318125402,-0.24821088531812013,-0.8784472997427102,-0.0009029403339730069,0.003129194307732716,0.03149124948928761,0.0019346948242626727,0.0015335501200388624
0,67,-0.024151230436080695,-0.24823668282249728,-0.9100993331761469,-0.0009722043845590764,0.0027104584817863805,0.030206290384133694,0.00192651618042039,0.0015780233412705513
0,68,-0.027254106519209342,-0.2511384866765424,-0.9550523142496585,-0.0010887408998057624,0.0016735170347591394,0.028035886585712433,0.0017713585056383652,0.0016268263925540705
0,69,-0.04046480576158529,-0.27424889124829804,-1.1393628900595694,-0.0015570654487610663,-0.00040508078330304606,0.0313418296476205,0.001622440648071266,0.002229625749008868
0,70,-0.04265544486764239,-0.2788293733026922,-1.177957137346917,-0.001617998140099705,0.0003443979201443459,0.031641850247979164,0.0022551256925191776,0.002029442528848957
0,71,-0.03334999254670912,-0.250366674450806,-0.9900376731544362,-0.001265146103647391,0.0009220417180730717,0.022099449299275875,0.0015932169842272081,0.002269669842508426
0,72,-0.032168711102888325,-0.25201628191553177,-0.9759469382748378,-0.001236929913189383,0.0010855281500515533,0.023863851092755795,0.0017689516238653669,0.002271354416750526
0,73,-0.027743798705261336,-0.2504244527394824,-0.958372897327969,-0.001101245793130437,0.0016560424107015664,0.026612480481465695,0.0019060046909571415,0.0015799308668997813
0,74,-0.03054798701168915,-0.2512735027692485,-0.9837170451457204,-0.0011844973812610293,0.0012790925163893088,0.025045308594902393,0.0018364196670642707,0.0016637485683377307
0,75,-0.03310568695016913,-0.25182945953195807,-1.0220778563685187,-0.0012712818362857758,0.000544053845372882,0.022674095196028587,0.0017993898306170042,0.0018183835034635276
0,76,-0.041383431953292193,-0.2756536563929846,-1.179637504892515,-0.001598807918129469,0.00010882556875924793,0.029650161663691166,0.00217763173697183,0.0016259900971695718
0,77,-0.044840017657493125,-0.2837094178606566,-1.2446783374521866,-0.001689848028772787,0.0005040856450925467,0.033331471184889494,0.002884898785316281,0.0015823425773664468
0,78,-0.031130785295688135,-0.24846398715253548,-1.0199680512403777,-0.001197911089752271,0.0006607219848031934,0.02346627041697502,0.0016985400328086708,0.001614844407306526
0,79,-0.029079974543838594,-0.24833665610231775,-0.9685317704307144,-0.0011265821008073773,0.001622723905245843,0.025373868333796623,0.0017324611187972128,0.0016250544167308867
0,80,-0.02862025719825745,-0.24947946556825412,-0.9667924136251447,-0.0011278719455877703,0.0014330746616348922,0.025644080713391304,0.0017421963266950335,0.0016197050157407133
0,81,-0.027984543655704908,-0.24956526170233734,-1.0048319333715536,-0.0011016621336024865,0.001392652573382079,0.027402260340750217,0.0018672064404692268,0.0016089347964420853
0,82,-0.03973785794739182,-0.2763280255609975,-1.1688733516511656,-0.0015586800152020339,-3.67354369069095e-05,0.031346745789051056,0.0018870308165908067,0.0016170937922970197
0,83,-0.04458570030477127,-0.2821055176412734,-1.1768935188405738,-0.0016773421976094723,0.0003263647249238874,0.03205033577978611,0.002987459291444172,0.002121208565647459
0,84,-0.03257117528932252,-0.2494028693273191,-1.0077665072326099,-0.001254925354866883,0.0006075092660911344,0.020964628395934826,0.001597597026763764,0.0016392608692679111
0,85,-0.03072529744764796,-0.24978191739178407,-1.00132427548981,-0.001194659880141384,0.000861682433131658,0.02400068224718166,0.0016439132121073285,0.0016492550736735279
0,86,-0.029167889611101394,-0.24834111955567134,-0.9921681568654632,-0.0011302646925936063,0.0014864034480669072,0.026038282861312156,0.0016657274356371987,0.0016054423686469033
0,87,-0.030403508619743613,-0.24870337845490792,-1.0425724004959704,-0.0011766540744073684,0.0008010438716965461,0.025413374106089237,0.001660919759458812,0.0016122532326421357
0,88,-0.045014131933246326,-0.28628402293900884,-1.2773601021435415,-0.001713338544967656,-0.00011207862204282854,0.035112814356883404,0.0032656579737547764,0.0016489753245068073
0,89,-0.040668981166068985,-0.27682413963225755,-1.2508503525378076,-0.0015798801364388763,0.00034294389151275084,0.031779152341187,0.0024705574803397523,0.0016748372827535274
0,90,-0.04829420353739011,-0.28794198379284247,-1.3419284913347083,-0.001786739491218204,0.0002754734525014374,0.0336707302679618,0.003685897494533963,0.0016270022593682931
0,91,-0.046051639912048414,-0.2898443901780941,-1.3219112102376283,-0.0017368264862042126,0.0006146980474737336,0.0356320223460595,0.003486906364606468,0.0016705441524094145
0,92,-0.02785360329064046,-0.24787939913862045,-0.9813302039425489,-0.0011119057416733372,0.0010472732248748666,0.02423335425555706,0.00161393837886592,0.0016245424866287994
0,93,-0.030439057533123037,-0.24835471259458358,-0.9723364443920701,-0.001191541718965211,0.0007639523014575517,0.021264762928088543,0.0017266350476636827,0.0016627683757042266
0,94,-0.030546729608281087,-0.2502806478887676,-0.9937139806270734,-0.0011934563380377808,0.000867547387024787,0.023856595779458756,0.0014132167733790224,0.0016395959345083533
0,95,-0.03607232393536708,-0.27045172369621745,-1.140292236740387,-0.0014446531520868333,5.369350686569574e-05,0.03007447005559999,0.001368236807119172,0.0016754201560102988
0,96,-0.04179642852918364,-0.27813959620594775,-1.21152245725587,-0.0016037932442028377,0.00031631897814043963,0.03177431629349786,0.002741879332604613,0.0015968255823359812
0,97,-0.03310144678739757,-0.24947547453035107,-0.9945342913139976,-0.0012747813955082815,0.0006905555779982836,0.020323744975030422,0.0017100932659145363,0.002431262143897772
0,98,-0.026984040749969296,-0.24533527229387614,-0.9753336556986172,-0.0010602572844749941,0.0017705063497347254,0.02610119866828131,0.0016505681286025364,0.0015889377502076307
0,99,-0.02731666859959292,-0.2461339369088374,-0.9778274919164085,-0.0010802924906224767,0.001580689974921723,0.02523354720324278,0.0015731274163420794,0.001555823277855417
0,100,-0.02844585277022582,-0.24673515581576494,-1.011360232819868,-0.0011230911336337634,0.0007904269711462991,0.024434969139595863,0.001565280194156693,0.0015537304753259207
0,101,-0.04129984985228141,-0.28100721719095095,-1.1767945480344215,-0.0016058916953496892,-7.632301075670769e-05,0.03402515562872094,0.0025249237898382626,0.0015961767538428262
0,102,-0.02913462261499289,-0.24058034636343267,-1.0130784789465181,-0.001091841969993429,0.002310398531888795,0.024163174753387806,0.0015501925672410932,0.0015542373218080385
0,103,-0.028381524864606433,-0.24744083145830464,-0.9733757487775652,-0.0011219417329341938,0.0014851471051335503,0.024001733399927616,0.0013398399077335643,0.0016009717697109682
0,104,-0.027070717082819495,-0.24084865469691097,-0.9830676782881742,-0.0010124377893883166,0.0030413786715174293,0.028663786128163338,0.001642088602913483,0.001559238956706066
0,105,-0.028642858971143603,-0.2455015148752719,-1.0259173126847383,-0.001103080066430985,0.001678787305801878,0.026537377697726128,0.0017387908251368378,0.0015823980224600742
0,106,-0.041876939583039396,-0.27673518711248685,-1.1701736730791525,-0.001618446491590396,-0.00020628791623590603,0.029445097160836098,0.003003406006860887,0.001648800192023403
0,107,-0.043823301037011486,-0.28381648208620547,-1.2661482196092706,-0.001669068733938444,0.0005203047310872976,0.033527436355749785,0.003133700942539841,0.0016044772847341182
