seed,day,step,maximum_active_balance_residual_mw,maximum_reactive_balance_residual_mvar
43,4,55,3.8617221235007215e-08,3.911560700342598e-08
43,4,56,4.131199615904635e-08,4.1849785581415944e-08
43,4,57,4.488304965535872e-08,4.539523097701892e-08
43,4,58,4.908836678287065e-08,4.954829671555139e-08
43,4,59,5.339808479935815e-08,5.378136644362819e-08
43,4,60,5.8607642246244485e-08,5.887170147211851e-08
43,4,61,6.504573227261723e-08,6.508397772109209e-08
43,4,62,7.559390817306333e-08,7.517753523866855e-08
43,4,63,8.685514756197332e-08,8.578869295505775e-08
43,4,64,9.940202270672382e-08,9.722966119729559e-08
43,4,65,2.012305322374175e-09,6.853734801914868e-09
43,4,66,2.181240309900856e-09,7.353734982062932e-09
43,4,67,2.3920372453634098e-09,7.968790904921974e-09
43,4,68,2.6114580029684697e-09,8.597494244311221e-09
43,4,69,2.4596871761595196e-09,8.126791462004235e-09
43,4,70,2.370022936584726e-09,7.871537449632982e-09
43,4,71,2.217906119178492e-09,7.422869680029365e-09
43,4,72,2.165611301396808e-09,7.281152486493525e-09
43,4,73,1.970808776591282e-09,6.691994181018401e-09
43,4,74,9.565906234666743e-08,9.416332796829963e-08
43,4,75,8.746403994293328e-08,8.649495154833264e-08
43,4,76,7.720916563210001e-08,7.674389713996366e-08
43,4,77,6.530143452018744e-08,6.534629892751553e-08
43,4,78,5.7329351370316584e-08,5.769221954332604e-08
43,4,79,5.4396177310775395e-08,5.48578775461106e-08
43,4,80,4.9940917816113095e-08,5.052114761261439e-08
43,4,81,4.6034368721484253e-08,4.6746194623525916e-08
43,4,82,4.433631560843421e-08,4.5103367707355346e-08
43,4,83,4.145820979052639e-08,4.229192794580339e-08
43,4,84,4.372874778425795e-08,4.4535927862243696e-08
43,4,85,4.010262798052888e-08,4.09464455397579e-08
43,4,86,3.7138482658106986e-08,3.809015117206549e-08
43,4,87,3.2826976918004513e-08,3.3733422236115196e-08
43,4,88,2.94439095414184e-08,3.022839395461219e-08
43,4,89,2.6182443257742605e-08,2.6741843184296954e-08
43,4,90,2.3692704126734854e-08,2.4091966685513277e-08
43,4,91,2.1271671993283725e-08,2.1489290277787454e-08
43,4,92,1.883894194289193e-08,1.892482115462002e-08
43,4,93,1.6469767875892938e-08,1.6495636662172686e-08
43,4,94,1.491456715942141e-08,1.4983194338014094e-08
43,4,95,1.386375258517758e-08,1.3980911497957216e-08
43,38,0,6.442473436674145e-08,6.377811480329232e-08
43,38,1,6.048505877577492e-08,6.107197011995247e-08
43,38,2,5.970927454725106e-08,5.997725996409464e-08
43,38,3,5.7039917754353464e-08,5.735553212926625e-08
43,38,4,5.3998108406547174e-08,5.443610749666927e-08
43,38,5,5.370428880248357e-08,5.4163438803489505e-08
43,38,6,5.516177402006828e-08,5.5563352877041616e-08
43,38,7,5.537518463737123e-08,5.575043829364468e-08
43,38,8,5.542561986628114e-08,5.5801707213309903e-08
43,38,9,5.600577275381713e-08,5.636634291261711e-08
43,38,10,5.606104949186508e-08,5.641290226621187e-08
43,38,11,5.63428430386953e-08,5.6688139113414415e-08
43,38,12,5.830071294656014e-08,5.85870473662764e-08
43,38,13,6.148510221792858e-08,6.165262113333458e-08
43,38,14,6.445444637216691e-08,6.449532102825728e-08
43,38,15,6.618256230377095e-08,6.614250452896542e-08
43,38,16,7.070713214582525e-08,7.050776157369043e-08
43,38,17,7.573979647450269e-08,7.531034754149069e-08
43,38,18,8.760218681534704e-08,8.648238951358689e-08
43,38,19,1.8860235248552293e-09,6.4771837199328886e-09
43,38,20,2.7990803078137283e-09,9.108503118415712e-09
43,38,21,3.91998900353685e-09,1.2003108507130378e-08
43,38,22,5.053318397410522e-09,1.4727861291641275e-08
43,38,23,6.2719700006513834e-09,1.741328123361363e-08
43,38,24,8.260952078648076e-09,2.0832868485864964e-08
43,38,25,1.053966060260425e-08,2.404075341577716e-08
43,38,26,1.3473736518859747e-08,2.7711826305898413e-08
43,38,27,1.5066404616959073e-08,2.9498158082841286e-08
43,38,28,1.700113811883841e-08,3.156535074988476e-08
43,38,29,1.9467384518648267e-08,3.489362791764261e-08
43,38,30,1.7083220888239325e-08,3.2665286586741615e-08
43,38,31,9.97632958448652e-09,2.598991480362578e-08
43,38,32,6.318461654494095e-09,2.2524712234295308e-08
43,38,33,5.585107654138e-09,2.0384920140781304e-08
43,38,34,5.302169016341285e-09,1.9370452047917652e-08
43,38,35,5.111903123022898e-09,1.8699089221474452e-08
43,38,36,4.577687439180633e-09,1.6619069592715974e-08
43,38,37,4.162650970446213e-09,1.4680263116240155e-08
43,38,38,3.978580511918017e-09,1.3758280487108365e-08
43,38,39,3.836973516690989e-09,1.3077517818649298e-08
43,38,40,3.784884515176112e-09,1.2794150738848487e-08
43,38,41,3.8052925567522156e-09,1.2835125878796205e-08
43,38,42,3.683302135515376e-09,1.234128535476664e-08
43,38,43,3.6398719802099855e-09,1.2143908517669999e-08
43,38,44,3.515494145789333e-09,1.164250931773303e-08
43,38,45,3.5590528007362066e-09,1.1769112767678891e-08
43,38,46,3.5698485660595747e-09,1.177564212806459e-08
43,38,47,3.404037884902067e-09,1.1168135860550876e-08
43,38,48,3.4422195649419507e-09,1.1299257779429084e-08
43,38,49,3.306505321279407e-09,1.0817638174120958e-08
43,38,50,3.3565906911586785e-09,1.1004614164367155e-08
43,38,51,3.2352454742978765e-09,1.0591572202622856e-08
43,38,52,3.26391344507293e-09,1.0715033027519638e-08
43,38,53,3.3702377780914228e-09,1.1158122481536026e-08
43,38,54,3.4736282340103175e-09,1.1608987521283254e-08
43,38,55,3.5227784318109245e-09,1.1863514753907012e-08
43,38,56,3.8075770140977294e-09,1.3038789214991908e-08
43,38,57,4.0412937492989576e-09,1.409989153211555e-08
43,38,58,4.1514001871550965e-09,1.473113131478243e-08
43,38,59,4.3034604785968655e-09,1.559409781859422e-08
43,38,60,4.603405165740093e-09,1.719682563017244e-08
43,38,61,5.277519142185549e-09,1.8387137507014373e-08
43,38,62,6.339491787424323e-09,1.9217715335750896e-08
43,38,63,8.272017237853646e-09,2.151308090003745e-08
43,38,64,9.979630767598113e-09,2.3368081081276415e-08
43,38,65,1.2623619788376672e-08,2.6656308549366514e-08
43,38,66,1.6941471194659163e-08,3.1007083289846804e-08
43,38,67,2.5282441470236838e-08,4.2640136560523345e-08
43,38,68,3.3704195927242164e-08,5.740775813056764e-08
43,38,69,3.1221374062473384e-08,5.3061709470725305e-08
43,38,70,2.8337979827292026e-08,4.8015216733143795e-08
43,38,71,2.5084072475395347e-08,4.236195595697101e-08
43,38,72,2.300121444004377e-08,3.8783495165395365e-08
43,38,73,1.5491994440758328e-08,2.879505550668071e-08
43,38,74,1.2331213637001293e-08,2.5396294511814688e-08
43,38,75,1.068679247526183e-08,2.354235320578546e-08
43,38,76,8.411515685369242e-09,2.0350608559427386e-08
43,38,77,6.534614143197115e-09,1.7504045157767933e-08
43,38,78,5.395001546198985e-09,1.5430751398870513e-08
43,38,79,4.400311009664093e-09,1.3071817100973604e-08
43,38,80,4.096662939434559e-09,1.2396582510509901e-08
43,38,81,3.63273799930397e-09,1.1222059809190554e-08
43,38,82,3.1088959965425156e-09,9.851219701095815e-09
43,38,83,2.793108470205974e-09,9.026091818409299e-09
43,38,84,2.867085457936014e-09,9.281344859335405e-09
43,38,85,2.6146393383719158e-09,8.551273023016392e-09
43,38,86,2.3277393120663126e-09,7.723803541193064e-09
43,38,87,2.0592252469170402e-09,6.941323904552377e-09
43,38,88,9.554700095351643e-08,9.407793162552469e-08
43,38,89,8.587618926733653e-08,8.501183805520451e-08
43,38,90,7.782224161097251e-08,7.734573252704546e-08
43,38,91,6.973792783700195e-08,6.960171182457398e-08
43,38,92,6.183763705085166e-08,6.200957643198723e-08
43,38,93,5.6531360625652893e-08,5.6906760345643015e-08
43,38,94,5.170615627499153e-08,5.224050560193039e-08
43,38,95,4.8789699346601934e-08,4.942023672238616e-08
43,77,0,7.033689761702655e-08,6.887821327183907e-08
43,77,1,6.403999041129649e-08,6.488171902518935e-08
43,77,2,6.413031099217203e-08,6.427347029602792e-08
43,77,3,6.134824194654886e-08,6.149417801359913e-08
43,77,4,5.8522009989750434e-08,5.87939159163442e-08
43,77,5,5.8616927006704955e-08,5.889495176270021e-08
43,77,6,5.84822893324316e-08,5.8746123590691646e-08
43,77,7,5.7792726307695497e-08,5.808093943293624e-08
43,77,8,5.8057563262145506e-08,5.834167225715614e-08
43,77,9,5.771462216995482e-08,5.8004349864915206e-08
43,77,10,5.890202370122111e-08,5.91606633126851e-08
43,77,11,5.8682029660875323e-08,5.893094512376962e-08
43,77,12,6.317574280552407e-08,6.329596638487978e-08
43,77,13,6.447555193737908e-08,6.44962755425027e-08
43,77,14,7.040829230406387e-08,7.023403754413682e-08
43,77,15,7.298072697385638e-08,7.265024075386872e-08
43,77,16,8.250887926011807e-08,8.176952746852262e-08
43,77,17,8.834077504238369e-08,8.72489402947707e-08
43,77,18,1.918578759405043e-09,6.576388114631904e-09
43,77,19,2.3348516956650522e-09,7.809425467408815e-09
43,77,20,3.388347085547805e-09,1.067943317112352e-08
43,77,21,4.474280043686996e-09,1.3429511808160655e-08
43,77,22,5.159325987269536e-09,1.5392875307718157e-08
