epoch,training_mse,validation_mse
41,6.0417219986317964e-06,1.957200584001839e-05
42,9.955322888171872e-06,1.8555020915300702e-06
43,4.883003536330459e-06,2.951051101263147e-06
44,5.091372091079566e-06,3.212059027646319e-06
45,5.889469900380174e-06,2.063693045784021e-06
46,5.5539390933474696e-06,4.947568868374219e-06
47,6.6139708137381515e-06,2.617850213937345e-06
48,9.797051615935612e-06,2.291734290338354e-06
49,5.052031405111415e-06,6.6386687649355736e-06
50,5.12875315702591e-06,3.853866928693606e-06
51,4.7722764325694044e-06,2.1869668671570253e-06
52,6.2716836899718535e-06,2.4308994852617616e-06
53,4.997247566777896e-06,2.8332524379948154e-06
54,6.2851077126695255e-06,2.3640748167963466e-06
55,6.7301364197192015e-06,3.6785058910027146e-06
56,7.794389868346721e-06,3.8119617329357425e-06
57,6.252237878492278e-06,1.7107176972785965e-06
58,4.499248808272005e-06,1.7031489960572799e-06
59,4.153557424182336e-06,3.213855507055996e-06
60,5.472849054621336e-06,1.176572095573647e-05
61,5.935834971231608e-06,1.3797634892398492e-06
62,4.120110604942186e-06,1.98737006940064e-06
63,5.1262378952915675e-06,5.669643542205449e-06
64,6.127943189918976e-06,2.5297833872173214e-06
65,4.883438512998899e-06,1.6106527255033143e-05
66,1.3789177143865214e-05,2.0490238057391252e-06
67,3.851232247056725e-06,1.3878958498025895e-06
68,3.66114766490812e-06,2.699928245419869e-06
69,4.440616104754251e-06,7.205368092400022e-06
70,4.416594896113002e-06,1.47728462707164e-06
71,5.342792373344959e-06,4.505653578235069e-06
72,3.6179541590778777e-06,4.707205334852915e-06
73,5.572229973776779e-06,1.4451222796196816e-06
74,4.28188322876806e-06,6.423171271308092e-06
75,5.25727381543783e-06,1.7927947055795812e-06
76,5.065981299811115e-06,2.0445968402782455e-06
77,5.3584626909599005e-06,3.1901790862320922e-06
78,5.491207555711039e-06,2.151561147911707e-06
79,5.232379841063881e-06,4.857293788518291e-06
80,3.450848863297194e-06,1.789436282706447e-06
81,3.3249284732456933e-06,1.8073812952934531e-06
82,3.001427298191369e-06,3.2865798402781365e-06
83,6.087206878917295e-06,6.876445695525035e-06
84,3.915022486602365e-06,1.167788241218659e-06
85,4.77769570276602e-06,1.3093405868858099e-05
86,5.4135716655288155e-06,3.0728472211194457e-06
87,3.692491098999675e-06,2.2935698780202074e-06
88,2.808998206525021e-06,1.7038876194419572e-06
89,4.487420937948627e-06,5.9604926718748175e-06
90,3.52767361684008e-06,2.245873474748805e-06
91,5.044544244421039e-06,1.4962557770559215e-06
92,4.7417056223474945e-06,1.4311084441942512e-06
93,3.38507640576392e-06,3.836415089608636e-06
94,3.953102231250904e-06,2.5769065814529313e-06
95,2.9201051596655383e-06,2.7076600872533163e-06
96,5.252708742123754e-06,1.688663246568467e-06
97,5.212568753774706e-06,4.823469225812005e-06
98,3.572268004366682e-06,1.2274641676413012e-06
99,2.9947980616877126e-06,1.1448020131865633e-06
100,2.772408000358458e-06,2.3851901005400578e-06
101,3.7119512864505634e-06,4.0053805605566595e-06
102,4.269347958337935e-06,2.2322353743220447e-06
103,2.8258700938619896e-06,3.590127562347334e-06
104,3.050085500230385e-06,2.2414974409912247e-06
105,2.819146930375739e-06,4.901244210486766e-06
106,6.881099880372078e-06,3.823091901722364e-06
107,2.804704766255045e-06,2.607228225315339e-06
108,2.7778253135173666e-06,2.8084955374652054e-06
109,3.853590802312586e-06,2.2851420453662286e-06
110,3.17242883543908e-06,1.9152105323883006e-06
111,3.833047574495313e-06,3.443424702709308e-06
112,3.5598924233411143e-06,2.4091179966490017e-06
113,2.5905512080455427e-06,1.622284116820083e-06
114,2.599301743495224e-06,2.7857690838573035e-06
115,1.9348986213463787e-06,1.6305033341268427e-06
116,5.401152223038523e-06,3.000186325152754e-06
117,2.4692318772525013e-06,1.3528592717193533e-06
118,2.8824351748621017e-06,4.306707069190452e-06
119,1.964271965399738e-06,2.207825900768512e-06
120,5.683648323286304e-06,1.3710219946005964e-06
121,2.9049365095835084e-06,1.6393207715736935e-06
122,2.3046091298186056e-06,1.9252122456236975e-06
123,1.9986383785224117e-06,3.536826852723607e-06
124,3.97665213757223e-06,3.039179773622891e-06
125,2.192500021789913e-06,2.4464559373882366e-06
126,3.076938241974858e-06,5.983029950584751e-06
127,4.575879813728534e-06,3.0641031116829254e-06
128,2.154648862123005e-06,1.0673112456061062e-06
