method,execution,seed,jobs,completed_steps,risk,mean_daily_loss_mwh,mean_intervention_rate,projection_failure_steps,projection_activation_steps,projection_iterations,power_flow_previews,steps_within_0_001_of_reporting_limit,steps_within_0_001_of_projection_guard,worst_vmin,worst_vmax,max_p_balance_residual_mw,max_q_balance_residual_mvar,actor_mean_ms,actor_median_ms,actor_p95_ms,actor_p99_ms,actor_max_ms,projection_mean_ms,projection_median_ms,projection_p95_ms,projection_p99_ms,projection_max_ms,ac_execution_mean_ms,ac_execution_median_ms,ac_execution_p95_ms,ac_execution_p99_ms,ac_execution_max_ms,online_total_mean_ms,online_total_median_ms,online_total_p95_ms,online_total_p99_ms,online_total_max_ms
wg,projected,42,598,57408,0.0,1.5766001464530928,0.0001916109253065775,0,11,11,57463,25,60,0.9505002030636994,1.0267652740951294,9.999104587507177e-08,9.999618383327302e-08,0.2785347286140797,0.28265000219107606,0.3645000033429824,0.3980000037699938,1.4785000021220185,7.79900473626152,7.851300000766059,9.891699999570847,10.221392999810632,54.27130000316538,17.937702405576985,18.070200003421633,22.34302999713691,22.956557998186327,97.33430000051158,26.015241870452584,26.169000011577737,32.377164997160435,33.200376001914265,107.41540000162786
wg,raw,42,598,57408,0.0016722408026755853,1.5765790619284952,0.0,0,0,0,0,0,0,0.949616451639415,1.0267652740951294,9.999104587507177e-08,9.999618383327302e-08,0.2732455824930372,0.27259999842499383,0.3581000055419281,0.39148599833424674,1.8083999966620468,0.0,0.0,0.0,0.0,0.0,17.756908960430827,17.895149998366833,22.21136500593275,22.89106500102207,44.19920000509592,18.030154542923864,18.158300004870398,22.536859998581345,23.22129300533561,44.50200000428595
wg,projected,43,598,57408,0.2408026755852843,2.4441362289771003,0.1335005574136009,4642,7664,21058,162698,7990,8233,0.9486159814417897,1.0495069132725579,9.999983618946828e-08,9.998630076668569e-08,0.28014166494595766,0.28359999851090834,0.3646649998700008,0.39939999987836927,15.005000001110602,22.700242501044286,8.088299997325521,131.64906500314828,151.0438830057683,166.55770000215853,18.146942091692413,18.195600001490675,22.46196500309452,23.03429999978107,62.18259999877773,41.12732625768266,26.959949995216448,150.82201000586792,171.63948699846515,203.44539999496192
wg,raw,43,598,57408,0.3779264214046823,2.24456222606687,0.0,0,0,0,0,0,0,0.934759124691637,1.0407978183117614,9.99960493228147e-08,9.999521821679735e-08,0.2733981692447457,0.2730999985942617,0.3586000020732172,0.3918000002158806,1.9882999986293726,0.0,0.0,0.0,0.0,0.0,17.790205157821482,17.890699997224147,22.156465002626646,22.80708599508216,78.29989999299869,18.06360332706623,18.153550001443364,22.483995000948198,23.138671995184268,78.59799999278039
wg,projected,44,598,57408,0.0,1.6094036304859927,0.0002612876254180602,0,15,16,57488,32,64,0.9505000007422462,1.0257972646845461,9.997268578948448e-08,9.99754412589482e-08,0.226591394917576,0.21389999892562628,0.3324999997857958,0.3692929966928205,1.4242000033846125,5.869992015062143,4.766399997606641,8.904730000358539,9.259400001101312,53.191200000583194,13.532834732111809,11.947049999434967,20.266500003344845,20.879278998691007,29.03929999592947,19.629418142091527,17.850099986389978,29.304894998131203,30.18674399521842,62.70059999951627
wg,raw,44,598,57408,0.0016722408026755853,1.6093790824866236,0.0,0,0,0,0,0,0,0.9496264507083316,1.0257972646845461,9.997268578948448e-08,9.99754412589482e-08,0.2909645694084462,0.2978999982587993,0.37156500147830174,0.40379999700235203,2.922300001955591,0.0,0.0,0.0,0.0,0.0,18.800099834534205,18.455549994541798,22.43715999611595,22.939893001748715,50.13850000250386,19.09106440394265,18.73024999804329,22.765900001104455,23.271693002971006,50.42939999839291
wg,projected,45,598,57408,0.0,1.6458423388426608,0.0,0,0,0,57408,0,2,0.9513050588626378,1.0311713733945151,9.999001631885718e-08,9.999241434854866e-08,0.2832854131754602,0.28809999639634043,0.3654000029200688,0.4014000005554408,5.481699998199474,7.95452878167634,7.81614999868907,9.823899999901187,10.149585998733528,22.037900002032984,18.304194777722437,18.05075000083889,22.151900004246272,22.793878995871637,58.97980000736425,26.542008972574234,26.17525000096066,32.10299999518611,32.984609010090935,66.68360000912799
wg,raw,45,598,57408,0.0,1.6458423388426608,0.0,0,0,0,0,0,0,0.9513050588626378,1.0311713733945151,9.999001631885718e-08,9.999241434854866e-08,0.28632012961371994,0.29180000274209306,0.3682000024127774,0.4008929966948927,3.6371999958646484,0.0,0.0,0.0,0.0,0.0,18.70512479620823,18.36429999457323,22.432895000019926,22.999386003648397,47.6660999993328,18.991444925821952,18.63509999748203,22.763700001087273,23.33558599522803,48.06399999506539
wg,projected,46,598,57408,0.0,1.6528195810886115,0.0003658026755852843,0,21,25,57533,54,110,0.9504999999973923,1.0419685156748513,9.999491093655444e-08,9.997518035653741e-08,0.27106275780150335,0.26960000104736537,0.3639999995357357,0.40409999928670004,1.5386000013677403,7.3396168425923785,7.44335000126739,9.584694997465702,9.991564996525995,100.51620000012917,16.84858819845639,17.222999998921296,21.60736500263738,22.399002001839108,30.711100000189617,24.459267798850277,24.903250003262656,31.1829000031139,32.34987899988482,114.12100000598002
wg,raw,46,598,57408,0.006688963210702341,1.6527507794024212,0.0,0,0,0,0,0,0,0.9491398708037185,1.0419685156748513,9.999491093655444e-08,9.997518035653741e-08,0.27769003971507916,0.2811999947880395,0.36550000368151814,0.4026000024168752,1.9440000032773241,0.0,0.0,0.0,0.0,0.0,17.72022052498698,17.84310000221012,22.06496499966306,22.857186004985124,30.73160000349162,17.99791056470206,18.10809999369667,22.390664993508835,23.18678599775012,31.014200001663994
