method,execution,seed,candidate_id,days,events,risk_hat,risk_upper_95,pf_fail_days,mean_daily_loss_mwh,mean_intervention_rate,projection_failure_steps,projection_activation_steps,projection_iterations,power_flow_previews,steps_within_0_001_of_reporting_limit,steps_within_0_001_of_projection_guard,worst_vmin,worst_vmax,max_p_balance_residual_mw,max_q_balance_residual_mvar
concat,raw,45,100,299,6,0.020066889632107024,0.03922051340630801,0,1.5262530672418435,0.0,0,0,0,0,0,0,0.9486748244316368,1.03012631425447,9.9982278393973e-08,9.999599674334615e-08
concat,raw,45,101,299,1,0.0033444816053511705,0.015766783127611383,0,1.5109473728638423,0.0,0,0,0,0,0,0,0.9495450847234638,1.031641685227648,9.998172656976169e-08,9.999500179269649e-08
concat,projected,46,100,299,6,0.020066889632107024,0.03922051340630801,0,1.5428473501907227,0.006723801560758082,61,193,521,31309,237,359,0.947227606425086,1.032725800430179,9.993545804255767e-08,9.992135598102525e-08
concat,projected,46,101,299,5,0.016722408026755852,0.03483729698331087,0,1.5232424614230737,0.00641025641025641,42,184,495,31179,214,254,0.9474195673396236,1.0337089736038818,9.942439230421762e-08,9.999850843211977e-08
concat,raw,46,100,299,5,0.016722408026755852,0.03483729698331087,0,1.5266621989628668,0.0,0,0,0,0,0,0,0.9487932835954672,1.027513178368556,9.993545804255767e-08,9.992135598102525e-08
concat,raw,46,101,299,5,0.016722408026755852,0.03483729698331087,0,1.509983085179086,0.0,0,0,0,0,0,0,0.9345871022124992,1.0288718284077547,9.942439230421762e-08,9.999850843211977e-08
wg,projected,42,100,299,0,0.0,0.009969146792899267,0,1.5909718960388348,0.0003832218506131545,0,11,11,28759,21,46,0.9505002030636994,1.0248968600439357,9.996133957038135e-08,9.999618383327302e-08
wg,projected,42,101,299,0,0.0,0.009969146792899267,0,1.5622283968673503,0.0,0,0,0,28704,4,14,0.9505217560795708,1.0267652740951294,9.999104587507177e-08,9.997046968024392e-08
wg,raw,42,100,299,1,0.0033444816053511705,0.015766783127611383,0,1.59092972698964,0.0,0,0,0,0,0,0,0.949616451639415,1.0248968600439357,9.996133957038135e-08,9.999618383327302e-08
wg,raw,42,101,299,0,0.0,0.009969146792899267,0,1.5622283968673503,0.0,0,0,0,0,0,0,0.9505217560795708,1.0267652740951294,9.999104587507177e-08,9.997046968024392e-08
wg,projected,43,100,299,73,0.24414715719063546,0.28848457716986836,0,2.4423768092886973,0.13820373467112596,2549,3967,11005,83729,4126,4233,0.9486159814417896,1.049506913272558,9.99960493228147e-08,9.998630076668569e-08
wg,projected,43,101,299,71,0.23745819397993312,0.2814636093170743,0,2.4458956486655037,0.1287973801560758,2093,3697,10053,78969,3864,4000,0.9488610499453586,1.049500468750353,9.999983618946828e-08,9.996932420763829e-08
wg,raw,43,100,299,110,0.36789297658862874,0.4162728887823063,0,2.2420888984569824,0.0,0,0,0,0,0,0,0.934759124691637,1.0398093819627778,9.99960493228147e-08,9.999521821679737e-08
wg,raw,43,101,299,116,0.3879598662207358,0.43666749393437027,0,2.247035553676757,0.0,0,0,0,0,0,0,0.9355214254634502,1.0407978183117614,9.99958643232296e-08,9.996932420763829e-08
wg,projected,44,100,299,0,0.0,0.009969146792899267,0,1.6274903512475265,0.000418060200668896,0,12,13,28769,21,43,0.9505000007422462,1.0239644562642851,9.995116916419745e-08,9.99754412589482e-08
wg,projected,44,101,299,0,0.0,0.009969146792899267,0,1.5913169097244588,0.00010451505016722408,0,3,3,28719,11,21,0.9505002897560516,1.025797264684546,9.997268578948448e-08,9.995068488144465e-08
wg,raw,44,100,299,1,0.0033444816053511705,0.015766783127611383,0,1.627446600007458,0.0,0,0,0,0,0,0,0.9496264507083316,1.0239644562642851,9.995116916419745e-08,9.99754412589482e-08
wg,raw,44,101,299,0,0.0,0.009969146792899267,0,1.5913115649657892,0.0,0,0,0,0,0,0,0.9501885277259536,1.025797264684546,9.997268578948448e-08,9.995068488144465e-08
wg,projected,45,100,299,0,0.0,0.009969146792899267,0,1.6469704714969755,0.0,0,0,0,28704,0,2,0.9513050588626378,1.0294659991094073,9.998222490377463e-08,9.999241434854866e-08
wg,projected,45,101,299,0,0.0,0.009969146792899267,0,1.6447142061883466,0.0,0,0,0,28704,0,0,0.9521955111470128,1.0311713733945151,9.999001631885719e-08,9.998298841629173e-08
wg,raw,45,100,299,0,0.0,0.009969146792899267,0,1.6469704714969755,0.0,0,0,0,0,0,0,0.9513050588626378,1.0294659991094073,9.998222490377463e-08,9.999241434854866e-08
wg,raw,45,101,299,0,0.0,0.009969146792899267,0,1.6447142061883466,0.0,0,0,0,0,0,0,0.9521955111470128,1.0311713733945151,9.999001631885719e-08,9.998298841629173e-08
wg,projected,46,100,299,0,0.0,0.009969146792899267,0,1.6440157171747918,0.000627090301003344,0,18,22,28814,42,89,0.9504999999973924,1.040287839320862,9.998517701281796e-08,9.997518035653741e-08
wg,projected,46,101,299,0,0.0,0.009969146792899267,0,1.6616234450024312,0.00010451505016722408,0,3,3,28719,12,21,0.9505008777907088,1.0419685156748513,9.999491093655445e-08,9.996088304320416e-08
wg,raw,46,100,299,4,0.013377926421404682,0.03035069282707637,0,1.6438851440674003,0.0,0,0,0,0,0,0,0.9491398708037184,1.040287839320862,9.998517701281796e-08,9.997518035653741e-08
wg,raw,46,101,299,0,0.0,0.009969146792899267,0,1.6616164147374424,0.0,0,0,0,0,0,0,0.95013788958835,1.0419685156748513,9.999491093655445e-08,9.996088304320416e-08
