job_index,pv_s_scale,svc_q_scale,cap_total_mvar,t0,risk,under_risk,over_risk,viol_rate,under_steps,over_steps,pf_fail,loss_mean_mw,energy_mwh,vmin,vmax
27,1.4690325260162354,0.9606273770332336,0.1062826961278915,34361,0,0,0,0.0,0,0,0,0.05755043110447964,1.3812103465075114,0.9596680721724471,1.0288879846757297
28,0.9049335718154908,1.2795544862747192,0.2324615567922592,29235,0,0,0,0.0,0,0,0,0.06570575544310306,1.5769381306344734,0.9679027489578703,1.0277048028295432
29,1.140488862991333,1.3566157817840576,0.9259065985679626,16175,0,0,0,0.0,0,0,0,0.09043038994242991,2.170329358618318,0.9741347058035658,1.033246722164909
30,1.1458288431167605,0.9548333883285522,0.4786820411682129,32421,0,0,0,0.0,0,0,0,0.05514609824478097,1.3235063578747432,0.9618639042727077,1.0278968959510593
31,1.2286908626556396,1.1837670803070068,0.7860862612724304,35532,0,0,0,0.0,0,0,0,0.07483144755887328,1.7959547414129586,0.969706691578531,1.029052713150053
32,1.1793975830078125,1.2078396081924438,0.1852319538593292,33234,0,0,0,0.0,0,0,0,0.06441697140727204,1.546007313774529,0.9672974996055422,1.027043313668056
33,0.8690906763076782,1.455291986465454,0.5538768172264099,22398,0,0,0,0.0,0,0,0,0.08348950940440396,2.003748225705695,0.9725426468864116,1.0349854622354104
34,0.7128766179084778,1.2723759412765503,0.5335721373558044,17808,0,0,0,0.0,0,0,0,0.06772353927278511,1.6253649425468426,0.9648335858706373,1.0289257477867675
35,1.3854740858078003,0.9864910244941713,0.4299546480178833,20819,0,0,0,0.0,0,0,0,0.06053969631477202,1.4529527115545284,0.961697363422157,1.0292454622772762
36,1.3329659700393677,0.99119234085083,0.2500589191913605,23210,0,0,0,0.0,0,0,0,0.057011652969799244,1.368279671275182,0.9639452036831588,1.0261008057440546
37,0.9601963758468628,1.360870122909546,0.6713555455207825,11065,0,0,0,0.0,0,0,0,0.08021739460016436,1.9252174704039446,0.9722992845448821,1.0325931868337561
38,1.0993938446044922,1.2273160219192505,0.6986435651779175,29897,0,0,0,0.0,0,0,0,0.07378444853059048,1.7708267647341716,0.966041909909416,1.029113968904751
39,1.1689258813858032,0.9943897724151612,0.0994954407215118,20978,0,0,0,0.0,0,0,0,0.05272858948069934,1.2654861475367842,0.9606271945547779,1.0236048886522546
40,1.306602120399475,0.7503799200057983,0.1542302817106247,38304,0,0,0,0.0,0,0,0,0.04629765383682416,1.1111436920837798,0.9582917016892316,1.0245047376696998
41,1.3476468324661257,1.2223814725875854,0.7683918476104736,8544,0,0,0,0.0,0,0,0,0.07977326692671054,1.9145584062410528,0.9709847788766081,1.0302178274780407
42,1.2662214040756226,0.9071076512336732,0.9094436168670654,13275,0,0,0,0.0,0,0,0,0.06297489517790505,1.5113974842697213,0.9626267295554719,1.0316797400541602
43,0.968790888786316,1.4757083654403689,0.1541630029678344,7770,0,0,0,0.0,0,0,0,0.07962304926193246,1.910953182286379,0.9716850902385903,1.034294484942114
44,0.7895867228507996,0.8641526699066162,0.9482090473175048,30453,0,0,0,0.0,0,0,0,0.053323523538975785,1.2797645649354188,0.9585857104334358,1.0282750836189285
45,1.1299362182617188,0.9754817485809326,0.2926683723926544,601,0,0,0,0.0,0,0,0,0.05338692098495019,1.2812861036388046,0.9607184069710666,1.0261700685233737
46,0.8527153730392456,1.1863834857940674,0.3445282876491546,28436,0,0,0,0.0,0,0,0,0.060684938589542936,1.4564385261490305,0.9666396355040511,1.0270849329518466
47,0.8003436326980591,1.0245590209960938,0.927804708480835,23372,0,0,0,0.0,0,0,0,0.06059616373732681,1.4543079296958434,0.965645214672599,1.0299760438011356
48,1.016225814819336,0.8369040489196777,0.8813883066177368,15216,0,0,0,0.0,0,0,0,0.05401745169815388,1.2964188407556931,0.9596462455361897,1.0285158774766832
49,0.8823758959770203,1.394743800163269,0.1700988858938217,2692,0,0,0,0.0,0,0,0,0.07305085001336294,1.7532204003207106,0.9707904588744265,1.032056636798155
50,1.178501009941101,0.7685629725456238,0.0446203835308551,25823,0,0,0,0.0,0,0,0,0.04537071308318021,1.088897113996325,0.957486180099448,1.0232679392240693
