epoch,training_mse,validation_mse
50,7.146979182185273e-06,6.4789851421664935e-06
51,7.798027549402572e-06,8.071864613157231e-06
52,8.598114023005196e-06,8.905567483452614e-06
53,7.68765560332256e-06,7.053610715956893e-06
54,7.418314496698301e-06,8.521400559402537e-06
55,8.583864882893977e-06,7.924607416498475e-06
56,1.1333535407434933e-05,6.913676315889461e-06
57,8.618047559139086e-06,7.327955245273188e-06
58,8.604076486205616e-06,6.566257525264518e-06
59,7.411528269499069e-06,5.772781150881201e-06
60,9.885824797926207e-06,5.749232968810247e-06
61,7.760074205569773e-06,6.3914048951119184e-06
62,8.351782298632315e-06,1.4509555512631778e-05
63,8.798238565889602e-06,5.803613021271303e-06
64,6.959028583185586e-06,1.0952612683468033e-05
65,9.399425445215976e-06,6.064209628675599e-06
66,8.720424137295812e-06,1.4714414646732621e-05
67,6.664813478588864e-06,6.1921919041196816e-06
68,1.036346859672492e-05,7.513154741900507e-06
69,1.1143205905942263e-05,8.521460586052854e-06
70,6.633623938579972e-06,1.4047582226339728e-05
71,1.0540702284006762e-05,7.212727723526768e-06
72,7.5297301420851865e-06,7.266015927598346e-06
73,6.7074923078637634e-06,6.112560186011251e-06
74,6.38193584260686e-06,7.307786290766671e-06
75,6.371923334535538e-06,6.954641321499366e-06
76,6.803025403964316e-06,1.0521467629587278e-05
77,9.344856434403309e-06,5.688608780474169e-06
78,7.19864263893604e-06,7.165004717535339e-06
79,7.298152673857181e-06,7.585437742818613e-06
80,9.325555549280363e-06,7.922563781903591e-06
81,6.211519197070932e-06,6.033302270225249e-06
82,9.715472158079916e-06,5.56075156055158e-06
83,6.592084706166393e-06,7.194581939984346e-06
84,5.8382801875095105e-06,7.095457931427518e-06
85,7.799191984131107e-06,6.9027273639221676e-06
86,7.674381279121873e-06,2.1468184058903717e-05
87,1.3578422740898705e-05,5.576127932727104e-06
88,6.983925058669965e-06,6.347187081701122e-06
89,5.846163785030339e-06,6.593290436285315e-06
90,5.654850816600152e-06,8.417165190621745e-06
91,5.910762248666808e-06,5.276110641716514e-06
92,6.316207927305922e-06,1.7545717128086835e-05
93,9.605178807500384e-06,1.547656393086072e-05
94,8.84912662427052e-06,6.324313744698884e-06
95,6.671580400680319e-06,7.667661520827096e-06
96,6.193546715578469e-06,6.216327619767981e-06
97,9.582525167605213e-06,7.676690074731596e-06
98,6.120873460228419e-06,9.71985537034925e-06
99,7.799907009376467e-06,5.595304628513986e-06
100,6.391075289901069e-06,6.8591339186241385e-06
101,8.66421733765795e-06,6.549557838297915e-06
102,6.0350148379213696e-06,5.828728262713412e-06
103,5.702631986943223e-06,5.4106667448650114e-06
104,6.986205389260985e-06,5.580130618909607e-06
105,6.965738115078628e-06,1.116346084018005e-05
106,6.439862967714102e-06,7.122333499864908e-06
107,1.1173785261624808e-05,8.396102202823386e-06
108,5.589231553434122e-06,1.3958231647848152e-05
109,9.218850501773496e-06,5.466170932777459e-06
110,8.084551679877178e-06,5.969785888737533e-06
111,6.474243984181764e-06,5.135465926286997e-06
112,5.705360774213443e-06,5.141511337569682e-06
113,5.331869688450838e-06,2.632353425724432e-05
114,1.0356605538878025e-05,5.766662070527673e-06
115,5.844982979397173e-06,4.664656898967223e-06
116,4.606603955012577e-06,4.75550586997997e-06
117,5.5534809462187695e-06,6.311935521807754e-06
118,6.235663834429163e-06,1.0006815500673838e-05
119,1.0920422179575931e-05,4.928841008222662e-06
120,7.242648615872549e-06,2.0796545868506655e-05
121,1.7063239803454572e-05,5.70313204661943e-06
122,6.4383154624790355e-06,2.009493618970737e-05
123,1.030601916205515e-05,7.842399099899922e-06
124,5.22818042792919e-06,5.339218660083134e-06
125,5.0538024403240775e-06,5.195827725401614e-06
126,5.168309793849143e-06,6.752420631528366e-06
127,5.200988891287818e-06,5.814207270304905e-06
128,5.216697521367071e-06,1.1266234650975093e-05
129,6.4592192887045845e-06,5.521264938579407e-06
130,5.225712736015946e-06,5.055359451944241e-06
