candidate_id,worst_seed_risk,mean_seed_risk,worst_seed_pf_fail_rate,mean_daily_loss_mwh,maximum_seed_loss_mwh,mean_intervention_rate,projection_failure_steps,worst_vmin,worst_vmax,raw_worst_vmin,raw_worst_vmax,pv_s_scale,svc_q_scale,cap_total_mvar,selection_role,resource_index,robust_feasible
540,0.0,0.0,0.0,0.9493683701548767,0.9744854954350104,0.0006944444444444399,0,0.9505000012571888,1.0273556752367663,0.9484628728145442,1.0273556752367663,0.9947368421052631,0.7,0.25,refine_candidate,85.23684210526315,1
541,0.0,0.0,0.0,0.9721400725812761,0.9950125555449066,0.00023148148148148,0,0.9505012267174552,1.0274431427434965,0.9496398517817208,1.0274431427434965,0.9947368421052631,0.7421052631578947,0.25,refine_candidate,87.34210526315789,1
542,0.0,0.0,0.0,0.9979138666016164,1.0180677227786614,0.0,0,0.9506028443246128,1.027535687079401,0.9506028443246128,1.027535687079401,0.9947368421052631,0.7842105263157895,0.25,refine_candidate,89.44736842105263,1
543,0.0,0.0,0.0,1.0266475514182574,1.0448213215195465,0.0,0,0.9515364390711538,1.027625783779343,0.9515364390711538,1.027625783779343,0.9947368421052631,0.8263157894736841,0.25,refine_candidate,91.55263157894737,1
560,0.0,0.0,0.0,0.9648164649192942,0.996187343277533,0.00046296296296296,0,0.9505000013471968,1.0264772622406535,0.9487146850344031,1.0264772622406535,1.0368421052631578,0.7,0.25,refine_candidate,87.34210526315789,1
561,0.0,0.0,0.0,0.9878573141815261,1.016885710171883,0.00011574074074074,0,0.9505029005090329,1.0265547204420826,0.949897836289088,1.0265547204420826,1.0368421052631578,0.7421052631578947,0.25,refine_candidate,89.44736842105263,1
562,0.0,0.0,0.0,1.0138810011992747,1.0400957348914142,0.0,0,0.9508597480594488,1.0266280368110483,0.9508597480594488,1.0266280368110483,1.0368421052631578,0.7842105263157895,0.25,refine_candidate,91.55263157894737,1
580,0.0,0.0,0.0,0.9811283286314602,1.0191325546780396,0.00034722222222221996,0,0.9505000014266995,1.0255964343662127,0.9489537434101868,1.0255964343662127,1.0789473684210527,0.7,0.25,refine_candidate,89.44736842105263,1
581,0.0,0.0,0.0,1.004429791964642,1.039978604131862,0.00011574074074074,0,0.9505028798494788,1.0256611643278024,0.9501451635837852,1.0256611643278024,1.0789473684210527,0.7421052631578947,0.25,refine_candidate,91.55263157894737,1
600,0.0,0.0,0.0,0.9982695967643553,1.0433046307433878,0.00034722222222221996,0,0.950500001805623,1.024861310263275,0.9491973033959086,1.024861310263275,1.1210526315789473,0.7,0.25,refine_candidate,91.55263157894737,1
800,0.0,0.0,0.0,0.889039013591678,0.9241168378115564,0.0006944444444444399,0,0.9505000003839968,1.034556030979255,0.947951275195824,1.034556030979255,0.7,0.7,0.5,refine_candidate,71.0,1
801,0.0,0.0,0.0,0.9125562654079457,0.9544417490968092,0.00034722222222221996,0,0.9505000006969015,1.034648725474557,0.9490992099532104,1.034648725474557,0.7,0.7421052631578947,0.5,refine_candidate,73.10526315789474,1
802,0.0,0.0,0.0,0.9392264746460232,0.9884205386981344,0.00011574074074074,0,0.9505014232407204,1.0348484496015171,0.9500688887401296,1.0348484496015171,0.7,0.7842105263157895,0.5,refine_candidate,75.21052631578948,1
803,0.0,0.0,0.0,0.9689951461954943,1.0259754262509122,0.0,0,0.95097483572593,1.0350317164205467,0.95097483572593,1.0350317164205467,0.7,0.8263157894736841,0.5,refine_candidate,77.3157894736842,1
804,0.0,0.0,0.0,1.0018025312489944,1.0669968990298808,0.0,0,0.9518824558869204,1.0351902801633632,0.9518824558869204,1.0351902801633632,0.7,0.8684210526315789,0.5,refine_candidate,79.42105263157895,1
