candidate_id,pv_s_scale,svc_q_scale,cap_total_mvar,selection_role,resource_index
85,0.8684210526315789,0.9105263157894736,0.0,refine_candidate,88.94736842105263
86,0.8684210526315789,0.9526315789473684,0.0,refine_candidate,91.05263157894737
100,0.9105263157894736,0.7,0.0,refine_candidate,80.52631578947368
101,0.9105263157894736,0.7421052631578947,0.0,refine_candidate,82.63157894736841
102,0.9105263157894736,0.7842105263157895,0.0,refine_candidate,84.73684210526315
103,0.9105263157894736,0.8263157894736841,0.0,refine_candidate,86.84210526315789
104,0.9105263157894736,0.8684210526315789,0.0,refine_candidate,88.94736842105263
105,0.9105263157894736,0.9105263157894736,0.0,refine_candidate,91.05263157894737
120,0.9526315789473684,0.7,0.0,refine_candidate,82.63157894736841
121,0.9526315789473684,0.7421052631578947,0.0,refine_candidate,84.73684210526315
122,0.9526315789473684,0.7842105263157895,0.0,refine_candidate,86.84210526315789
123,0.9526315789473684,0.8263157894736841,0.0,refine_candidate,88.94736842105263
124,0.9526315789473684,0.8684210526315789,0.0,refine_candidate,91.05263157894737
140,0.9947368421052631,0.7,0.0,refine_candidate,84.73684210526315
141,0.9947368421052631,0.7421052631578947,0.0,refine_candidate,86.84210526315789
142,0.9947368421052631,0.7842105263157895,0.0,refine_candidate,88.94736842105263
143,0.9947368421052631,0.8263157894736841,0.0,refine_candidate,91.05263157894737
160,1.0368421052631578,0.7,0.0,refine_candidate,86.84210526315789
161,1.0368421052631578,0.7421052631578947,0.0,refine_candidate,88.94736842105263
162,1.0368421052631578,0.7842105263157895,0.0,refine_candidate,91.05263157894737
180,1.0789473684210527,0.7,0.0,refine_candidate,88.94736842105263
181,1.0789473684210527,0.7421052631578947,0.0,refine_candidate,91.05263157894737
200,1.1210526315789473,0.7,0.0,refine_candidate,91.05263157894737
400,0.7,0.7,0.25,refine_candidate,70.5
401,0.7,0.7421052631578947,0.25,refine_candidate,72.60526315789474
402,0.7,0.7842105263157895,0.25,refine_candidate,74.71052631578948
403,0.7,0.8263157894736841,0.25,refine_candidate,76.8157894736842
404,0.7,0.8684210526315789,0.25,refine_candidate,78.92105263157895
405,0.7,0.9105263157894736,0.25,refine_candidate,81.02631578947368
406,0.7,0.9526315789473684,0.25,refine_candidate,83.13157894736841
407,0.7,0.9947368421052631,0.25,refine_candidate,85.23684210526315
408,0.7,1.0368421052631578,0.25,refine_candidate,87.34210526315789
409,0.7,1.0789473684210527,0.25,refine_candidate,89.44736842105263
410,0.7,1.1210526315789473,0.25,refine_candidate,91.55263157894737
420,0.7421052631578947,0.7,0.25,refine_candidate,72.60526315789474
421,0.7421052631578947,0.7421052631578947,0.25,refine_candidate,74.71052631578947
422,0.7421052631578947,0.7842105263157895,0.25,refine_candidate,76.8157894736842
423,0.7421052631578947,0.8263157894736841,0.25,refine_candidate,78.92105263157893
424,0.7421052631578947,0.8684210526315789,0.25,refine_candidate,81.02631578947367
425,0.7421052631578947,0.9105263157894736,0.25,refine_candidate,83.13157894736841
426,0.7421052631578947,0.9526315789473684,0.25,refine_candidate,85.23684210526315
427,0.7421052631578947,0.9947368421052631,0.25,refine_candidate,87.34210526315789
428,0.7421052631578947,1.0368421052631578,0.25,refine_candidate,89.44736842105263
429,0.7421052631578947,1.0789473684210527,0.25,refine_candidate,91.55263157894737
440,0.7842105263157895,0.7,0.25,refine_candidate,74.71052631578948
441,0.7842105263157895,0.7421052631578947,0.25,refine_candidate,76.8157894736842
442,0.7842105263157895,0.7842105263157895,0.25,refine_candidate,78.92105263157895
443,0.7842105263157895,0.8263157894736841,0.25,refine_candidate,81.02631578947367
444,0.7842105263157895,0.8684210526315789,0.25,refine_candidate,83.13157894736841
445,0.7842105263157895,0.9105263157894736,0.25,refine_candidate,85.23684210526315
446,0.7842105263157895,0.9526315789473684,0.25,refine_candidate,87.34210526315789
447,0.7842105263157895,0.9947368421052631,0.25,refine_candidate,89.44736842105263
448,0.7842105263157895,1.0368421052631578,0.25,refine_candidate,91.55263157894737
460,0.8263157894736841,0.7,0.25,refine_candidate,76.8157894736842
461,0.8263157894736841,0.7421052631578947,0.25,refine_candidate,78.92105263157893
462,0.8263157894736841,0.7842105263157895,0.25,refine_candidate,81.02631578947367
463,0.8263157894736841,0.8263157894736841,0.25,refine_candidate,83.13157894736841
464,0.8263157894736841,0.8684210526315789,0.25,refine_candidate,85.23684210526315
465,0.8263157894736841,0.9105263157894736,0.25,refine_candidate,87.34210526315789
466,0.8263157894736841,0.9526315789473684,0.25,refine_candidate,89.44736842105263
467,0.8263157894736841,0.9947368421052631,0.25,refine_candidate,91.55263157894737
480,0.8684210526315789,0.7,0.25,refine_candidate,78.92105263157895
481,0.8684210526315789,0.7421052631578947,0.25,refine_candidate,81.02631578947367
482,0.8684210526315789,0.7842105263157895,0.25,refine_candidate,83.13157894736841
483,0.8684210526315789,0.8263157894736841,0.25,refine_candidate,85.23684210526315
484,0.8684210526315789,0.8684210526315789,0.25,refine_candidate,87.34210526315789
485,0.8684210526315789,0.9105263157894736,0.25,refine_candidate,89.44736842105263
486,0.8684210526315789,0.9526315789473684,0.25,refine_candidate,91.55263157894737
500,0.9105263157894736,0.7,0.25,refine_candidate,81.02631578947368
501,0.9105263157894736,0.7421052631578947,0.25,refine_candidate,83.13157894736841
502,0.9105263157894736,0.7842105263157895,0.25,refine_candidate,85.23684210526315
503,0.9105263157894736,0.8263157894736841,0.25,refine_candidate,87.34210526315789
504,0.9105263157894736,0.8684210526315789,0.25,refine_candidate,89.44736842105263
505,0.9105263157894736,0.9105263157894736,0.25,refine_candidate,91.55263157894737
520,0.9526315789473684,0.7,0.25,refine_candidate,83.13157894736841
521,0.9526315789473684,0.7421052631578947,0.25,refine_candidate,85.23684210526315
522,0.9526315789473684,0.7842105263157895,0.25,refine_candidate,87.34210526315789
523,0.9526315789473684,0.8263157894736841,0.25,refine_candidate,89.44736842105263
524,0.9526315789473684,0.8684210526315789,0.25,refine_candidate,91.55263157894737
540,0.9947368421052631,0.7,0.25,refine_candidate,85.23684210526315
541,0.9947368421052631,0.7421052631578947,0.25,refine_candidate,87.34210526315789
542,0.9947368421052631,0.7842105263157895,0.25,refine_candidate,89.44736842105263
543,0.9947368421052631,0.8263157894736841,0.25,refine_candidate,91.55263157894737
560,1.0368421052631578,0.7,0.25,refine_candidate,87.34210526315789
561,1.0368421052631578,0.7421052631578947,0.25,refine_candidate,89.44736842105263
562,1.0368421052631578,0.7842105263157895,0.25,refine_candidate,91.55263157894737
580,1.0789473684210527,0.7,0.25,refine_candidate,89.44736842105263
581,1.0789473684210527,0.7421052631578947,0.25,refine_candidate,91.55263157894737
600,1.1210526315789473,0.7,0.25,refine_candidate,91.55263157894737
800,0.7,0.7,0.5,refine_candidate,71.0
801,0.7,0.7421052631578947,0.5,refine_candidate,73.10526315789474
802,0.7,0.7842105263157895,0.5,refine_candidate,75.21052631578948
803,0.7,0.8263157894736841,0.5,refine_candidate,77.3157894736842
804,0.7,0.8684210526315789,0.5,refine_candidate,79.42105263157895
805,0.7,0.9105263157894736,0.5,refine_candidate,81.52631578947368
806,0.7,0.9526315789473684,0.5,refine_candidate,83.63157894736841
807,0.7,0.9947368421052631,0.5,refine_candidate,85.73684210526315
808,0.7,1.0368421052631578,0.5,refine_candidate,87.84210526315789
809,0.7,1.0789473684210527,0.5,refine_candidate,89.94736842105263
820,0.7421052631578947,0.7,0.5,refine_candidate,73.10526315789474
821,0.7421052631578947,0.7421052631578947,0.5,refine_candidate,75.21052631578947
822,0.7421052631578947,0.7842105263157895,0.5,refine_candidate,77.3157894736842
823,0.7421052631578947,0.8263157894736841,0.5,refine_candidate,79.42105263157893
824,0.7421052631578947,0.8684210526315789,0.5,refine_candidate,81.52631578947367
825,0.7421052631578947,0.9105263157894736,0.5,refine_candidate,83.63157894736841
826,0.7421052631578947,0.9526315789473684,0.5,refine_candidate,85.73684210526315
827,0.7421052631578947,0.9947368421052631,0.5,refine_candidate,87.84210526315789
828,0.7421052631578947,1.0368421052631578,0.5,refine_candidate,89.94736842105263
840,0.7842105263157895,0.7,0.5,refine_candidate,75.21052631578948
841,0.7842105263157895,0.7421052631578947,0.5,refine_candidate,77.3157894736842
842,0.7842105263157895,0.7842105263157895,0.5,refine_candidate,79.42105263157895
843,0.7842105263157895,0.8263157894736841,0.5,refine_candidate,81.52631578947367
