scorest,violation_sum_st,grid_loss_sum_st,pf_fail_sum_st
-5.718681927949815,0.0,-5.718681927949815,0.0
-4.426593241490893,0.0,-4.426593241490893,0.0
-5.367128296460475,0.0,-5.367128296460475,0.0
-7.066901108650107,0.0,-7.066901108650107,0.0
-4.613889374799579,0.0,-4.613889374799579,0.0
-4.549872437202396,0.0,-4.549872437202396,0.0
-5.411655171248676,0.0,-5.411655171248676,0.0
-5.538413413179147,0.0,-5.538413413179147,0.0
-5.362376966242985,0.0,-5.362376966242985,0.0
-7.384584487096534,0.0,-7.384584487096534,0.0
-5.1561229034868,0.0,-5.1561229034868,0.0
-4.748646905571794,0.0,-4.748646905571794,0.0
-6.337507452250548,0.0,-6.337507452250548,0.0
-6.355737302961544,0.0,-6.355737302961544,0.0
-4.196824372246524,0.0,-4.196824372246524,0.0
-4.522535941861755,0.0,-4.522535941861755,0.0
-4.4215934188747825,0.0,-4.4215934188747825,0.0
-5.207258205803055,0.0,-5.207258205803055,0.0
-4.506466225174442,0.0,-4.506466225174442,0.0
-4.555712797026334,0.0,-4.555712797026334,0.0
-6.052372232225664,0.0,-6.052372232225664,0.0
-5.064325380577358,0.0,-5.064325380577358,0.0
-5.651402606812782,0.0,-5.651402606812782,0.0
-4.145096201458604,0.0,-4.145096201458604,0.0
-7.11422043560088,0.0,-7.11422043560088,0.0
-5.242587002358073,0.0,-5.242587002358073,0.0
-5.913487895480934,0.0,-5.913487895480934,0.0
-5.399279764147655,0.0,-5.399279764147655,0.0
-6.571062896980214,0.0,-6.571062896980214,0.0
-6.198502136141336,0.0,-6.198502136141336,0.0
-4.429891691918572,0.0,-4.429891691918572,0.0
-4.535131629258018,0.0,-4.535131629258018,0.0
-4.642834048686154,0.0,-4.642834048686154,0.0
-4.612021907180591,0.0,-4.612021907180591,0.0
-5.228754009142955,0.0,-5.228754009142955,0.0
-5.629668687281476,0.0,-5.629668687281476,0.0
-7.971061835019714,0.0,-7.971061835019714,0.0
-5.585112936903775,0.0,-5.585112936903775,0.0
-6.232855985439447,0.0,-6.232855985439447,0.0
-5.972492924451451,0.0,-5.972492924451451,0.0
-5.139164319395176,0.0,-5.139164319395176,0.0
-5.4168815569927045,0.0,-5.4168815569927045,0.0
-5.1756197186006405,0.0,-5.1756197186006405,0.0
-4.629034719239893,0.0,-4.629034719239893,0.0
-5.15492861781823,0.0,-5.15492861781823,0.0
-4.719668693274021,0.0,-4.719668693274021,0.0
-5.2799615195586345,0.0,-5.2799615195586345,0.0
-6.049392499154223,0.0,-6.049392499154223,0.0
-4.444490874618995,0.0,-4.444490874618995,0.0
-5.659624155048234,0.0,-5.659624155048234,0.0
-4.495089193872132,0.0,-4.495089193872132,0.0
-4.132704984239252,0.0,-4.132704984239252,0.0
-5.604935469540173,0.0,-5.604935469540173,0.0
-4.909856265423805,0.0,-4.909856265423805,0.0
-4.239295329281661,0.0,-4.239295329281661,0.0
-5.054324148375195,0.0,-5.054324148375195,0.0
-4.627911411315561,0.0,-4.627911411315561,0.0
