candidate_id,risk,pf_fail_rate,mean_daily_loss_mwh,mean_intervention_rate,projection_failure_steps,worst_vmin,worst_vmax,raw_worst_vmin,raw_worst_vmax,seed,pv_s_scale,svc_q_scale,cap_total_mvar,selection_role,path_fraction,resource_index
2003,0.0,0.0,1.031988625569555,0.0,0,0.9524974402716088,1.0250032936365463,0.9524974402716088,1.0250032936365463,43,0.85,0.85,0.1875,risk_path,0.1875,85.375
2004,0.0,0.0,1.0949883404042111,0.0,0,0.9541520412332328,1.0237557699318367,0.9541520412332328,1.0237557699318367,43,0.8999999999999999,0.8999999999999999,0.25,risk_path,0.25,90.49999999999999
2005,0.0,0.0,1.1665242929623487,0.0,0,0.9557988868774094,1.0239572085516189,0.9557988868774094,1.0239572085516189,43,0.95,0.95,0.3125,risk_path,0.3125,95.625
2006,0.0,0.0,1.2460078328751056,0.0,0,0.9574052586856452,1.0257941370735146,0.9574052586856452,1.0257941370735146,43,1.0,1.0,0.375,risk_path,0.375,100.75
2007,0.0,0.0,1.332884402009973,0.0,0,0.9589630668915552,1.02758775054275,0.9589630668915552,1.02758775054275,43,1.05,1.05,0.4375,risk_path,0.4375,105.875
2008,0.0,0.0,1.4270562192747334,0.0,0,0.960495748397278,1.0293477003552456,0.960495748397278,1.0293477003552456,43,1.1,1.1,0.5,risk_path,0.5,111.00000000000001
2009,0.0,0.0,1.5284190875991266,0.0,0,0.9619720046177428,1.031084465678258,0.9619720046177428,1.031084465678258,43,1.15,1.15,0.5625,risk_path,0.5625,116.12499999999999
2010,0.0,0.0,1.6368408455247094,0.0,0,0.9634021592960312,1.0327858851320335,0.9634021592960312,1.0327858851320335,43,1.2,1.2,0.625,risk_path,0.625,121.25
2011,0.0,0.0,1.7522819304568538,0.0,0,0.96479383699187,1.034461446163044,0.96479383699187,1.034461446163044,43,1.25,1.25,0.6875,risk_path,0.6875,126.375
2012,0.0,0.0,1.8745380328108352,0.0,0,0.9661450071404614,1.0360872005193795,0.9661450071404614,1.0360872005193795,43,1.3,1.3,0.75,risk_path,0.75,131.5
2013,0.0,0.0,2.0033988602719806,0.0,0,0.9674425257512878,1.03770330486009,0.9674425257512878,1.03770330486009,43,1.35,1.35,0.8125,risk_path,0.8125,136.625
2014,0.0,0.0,2.138560755836018,0.0,0,0.968709471776652,1.039312978526556,0.968709471776652,1.039312978526556,43,1.4,1.4,0.875,risk_path,0.875,141.75
2015,0.0,0.0,2.2797203386598506,0.0,0,0.96993883707179,1.0408944113575618,0.96993883707179,1.0408944113575618,43,1.45,1.45,0.9375,risk_path,0.9375,146.875
2016,0.0,0.0,2.42726408703753,0.0,0,0.9711449614794556,1.0424626419194367,0.9711449614794556,1.0424626419194367,43,1.5,1.5,1.0,risk_path,1.0,152.0
2000,0.165,0.0,0.8395108279906115,0.0,0,0.9442009794590368,1.036468500720416,0.9442009794590368,1.036468500720416,44,0.7,0.7,0.0,risk_path,0.0,70.0
2001,0.045,0.0,0.8727718766319975,0.0,0,0.9462506498284936,1.0358879739396654,0.9462506498284936,1.0358879739396654,44,0.75,0.75,0.0625,risk_path,0.0625,75.125
2002,0.015,0.0,0.9191693799384417,0.0,0,0.9482871197075604,1.0351078164666894,0.9482871197075604,1.0351078164666894,44,0.7999999999999999,0.7999999999999999,0.125,risk_path,0.125,80.25
2003,0.0,0.0,0.9776347586001866,0.0,0,0.9502312381615404,1.0342369398030855,0.9502312381615404,1.0342369398030855,44,0.85,0.85,0.1875,risk_path,0.1875,85.375
2004,0.0,0.0,1.0467888435773567,0.0,0,0.9519447088229788,1.0330933062150929,0.9519447088229788,1.0330933062150929,44,0.8999999999999999,0.8999999999999999,0.25,risk_path,0.25,90.49999999999999
2005,0.0,0.0,1.1260256902426804,0.0,0,0.9535856560323396,1.0318492729692696,0.9535856560323396,1.0318492729692696,44,0.95,0.95,0.3125,risk_path,0.3125,95.625
