candidate_id,risk,pf_fail_rate,mean_daily_loss_mwh,mean_intervention_rate,projection_failure_steps,worst_vmin,worst_vmax,raw_worst_vmin,raw_worst_vmax,seed,pv_s_scale,svc_q_scale,cap_total_mvar,selection_role,resource_index,path_fraction
1,0.0,0.0,0.9252006801027473,0.00026041666666666504,0,0.9505000004423984,1.02841923576437,0.9483237472708932,1.02841923576437,43,0.7,0.7421052631578947,0.0,optimiser_candidate,72.10526315789474,
2,0.0,0.0,0.9535934978664983,0.000156249999999999,0,0.9505000005514316,1.0285647988646425,0.949349805380837,1.0285647988646425,43,0.7,0.7842105263157895,0.0,optimiser_candidate,74.21052631578948,
20,0.0,0.0,0.9045022939724625,0.000416666666666664,0,0.950500000288139,1.026894600148433,0.9475031555335162,1.026894600148433,43,0.7421052631578947,0.7,0.0,optimiser_candidate,72.10526315789474,
21,0.0,0.0,0.9293796058101538,0.000156249999999999,0,0.9505000004812224,1.0270032823375443,0.948536281661275,1.0270032823375443,43,0.7421052631578947,0.7421052631578947,0.0,optimiser_candidate,74.21052631578947,
40,0.0,0.0,0.908855598991166,0.000364583333333331,0,0.9505000311650612,1.025526500691169,0.9477179681618836,1.025526500691169,43,0.7842105263157895,0.7,0.0,optimiser_candidate,74.21052631578948,
400,0.0,0.0,0.899069543065012,0.00026041666666666504,0,0.9505000004343428,1.0303164862452117,0.9484193625335564,1.0303164862452117,43,0.7,0.7,0.25,optimiser_candidate,70.5,
401,0.0,0.0,0.926571548534373,0.000156249999999999,0,0.9505000003252392,1.0304205960191244,0.9494515210222364,1.0304205960191244,43,0.7,0.7421052631578947,0.25,optimiser_candidate,72.60526315789474,
420,0.0,0.0,0.904286004992731,0.000156249999999999,0,0.9505000005497038,1.02890190968803,0.9486173173628234,1.02890190968803,43,0.7421052631578947,0.7,0.25,optimiser_candidate,72.60526315789474,
421,0.0,0.0,0.9320337187025446,0.000104166666666666,0,0.950500000457825,1.028981002793525,0.9496532894808656,1.028981002793525,43,0.7421052631578947,0.7421052631578947,0.25,optimiser_candidate,74.71052631578947,
440,0.0,0.0,0.9099451999432969,0.000156249999999999,0,0.9505000025719008,1.0275099410676696,0.948817212981026,1.0275099410676696,43,0.7842105263157895,0.7,0.25,optimiser_candidate,74.71052631578948,
800,0.0,0.0,0.9219910741226949,0.000156249999999999,0,0.9505000003607638,1.0322768249274616,0.9494535858681018,1.0322768249274616,43,0.7,0.7,0.5,optimiser_candidate,71.0,
801,0.0,0.0,0.9523582275633978,5.2083333333333e-05,0,0.9505001062619944,1.032366218010334,0.9504856420411248,1.032366218010334,43,0.7,0.7421052631578947,0.5,optimiser_candidate,73.10526315789474,
820,0.0,0.0,0.92821638528161,0.000104166666666666,0,0.9505000003353512,1.0307762499132882,0.949639534729639,1.0307762499132882,43,0.7421052631578947,0.7,0.5,optimiser_candidate,73.10526315789474,
