scenario_index,day_index,t0,capacity_label,pv_s_scale,svc_q_scale,cap_total_mvar,path_index,pv_inverter_nameplate_mva,svc_nameplate_mvar,fixed_shunt_mvar,candidate_id
8,159,15264,P06_pv045_svc0750,0.45,0.75,0.0,6,6.037383539249415,1.5,0.0,6
8,159,15264,P07_pv060_svc0750,0.6,0.75,0.0,7,8.04984471899922,1.5,0.0,7
8,159,15264,P08_pv075_svc0750,0.75,0.75,0.0,8,10.062305898749024,1.5,0.0,8
9,220,21120,P00_pv0225_svc0000,0.225,0.0,0.0,0,3.0186917696247075,0.0,0.0,0
9,220,21120,P01_pv030_svc0000,0.3,0.0,0.0,1,4.02492235949961,0.0,0.0,1
9,220,21120,P02_pv030_svc01875,0.3,0.1875,0.0,2,4.02492235949961,0.375,0.0,2
9,220,21120,P03_pv030_svc0375,0.3,0.375,0.0,3,4.02492235949961,0.75,0.0,3
9,220,21120,P04_pv045_svc0375,0.45,0.375,0.0,4,6.037383539249415,0.75,0.0,4
9,220,21120,P05_pv045_svc05625,0.45,0.5625,0.0,5,6.037383539249415,1.125,0.0,5
9,220,21120,P06_pv045_svc0750,0.45,0.75,0.0,6,6.037383539249415,1.5,0.0,6
9,220,21120,P07_pv060_svc0750,0.6,0.75,0.0,7,8.04984471899922,1.5,0.0,7
9,220,21120,P08_pv075_svc0750,0.75,0.75,0.0,8,10.062305898749024,1.5,0.0,8
10,236,22656,P00_pv0225_svc0000,0.225,0.0,0.0,0,3.0186917696247075,0.0,0.0,0
10,236,22656,P01_pv030_svc0000,0.3,0.0,0.0,1,4.02492235949961,0.0,0.0,1
10,236,22656,P02_pv030_svc01875,0.3,0.1875,0.0,2,4.02492235949961,0.375,0.0,2
10,236,22656,P03_pv030_svc0375,0.3,0.375,0.0,3,4.02492235949961,0.75,0.0,3
10,236,22656,P04_pv045_svc0375,0.45,0.375,0.0,4,6.037383539249415,0.75,0.0,4
10,236,22656,P05_pv045_svc05625,0.45,0.5625,0.0,5,6.037383539249415,1.125,0.0,5
10,236,22656,P06_pv045_svc0750,0.45,0.75,0.0,6,6.037383539249415,1.5,0.0,6
10,236,22656,P07_pv060_svc0750,0.6,0.75,0.0,7,8.04984471899922,1.5,0.0,7
10,236,22656,P08_pv075_svc0750,0.75,0.75,0.0,8,10.062305898749024,1.5,0.0,8
11,241,23136,P00_pv0225_svc0000,0.225,0.0,0.0,0,3.0186917696247075,0.0,0.0,0
11,241,23136,P01_pv030_svc0000,0.3,0.0,0.0,1,4.02492235949961,0.0,0.0,1
11,241,23136,P02_pv030_svc01875,0.3,0.1875,0.0,2,4.02492235949961,0.375,0.0,2
11,241,23136,P03_pv030_svc0375,0.3,0.375,0.0,3,4.02492235949961,0.75,0.0,3
11,241,23136,P04_pv045_svc0375,0.45,0.375,0.0,4,6.037383539249415,0.75,0.0,4
11,241,23136,P05_pv045_svc05625,0.45,0.5625,0.0,5,6.037383539249415,1.125,0.0,5
11,241,23136,P06_pv045_svc0750,0.45,0.75,0.0,6,6.037383539249415,1.5,0.0,6
11,241,23136,P07_pv060_svc0750,0.6,0.75,0.0,7,8.04984471899922,1.5,0.0,7
11,241,23136,P08_pv075_svc0750,0.75,0.75,0.0,8,10.062305898749024,1.5,0.0,8
12,245,23520,P00_pv0225_svc0000,0.225,0.0,0.0,0,3.0186917696247075,0.0,0.0,0
12,245,23520,P01_pv030_svc0000,0.3,0.0,0.0,1,4.02492235949961,0.0,0.0,1
12,245,23520,P02_pv030_svc01875,0.3,0.1875,0.0,2,4.02492235949961,0.375,0.0,2
12,245,23520,P03_pv030_svc0375,0.3,0.375,0.0,3,4.02492235949961,0.75,0.0,3
12,245,23520,P04_pv045_svc0375,0.45,0.375,0.0,4,6.037383539249415,0.75,0.0,4
12,245,23520,P05_pv045_svc05625,0.45,0.5625,0.0,5,6.037383539249415,1.125,0.0,5
12,245,23520,P06_pv045_svc0750,0.45,0.75,0.0,6,6.037383539249415,1.5,0.0,6
12,245,23520,P07_pv060_svc0750,0.6,0.75,0.0,7,8.04984471899922,1.5,0.0,7
12,245,23520,P08_pv075_svc0750,0.75,0.75,0.0,8,10.062305898749024,1.5,0.0,8
13,257,24672,P00_pv0225_svc0000,0.225,0.0,0.0,0,3.0186917696247075,0.0,0.0,0
13,257,24672,P01_pv030_svc0000,0.3,0.0,0.0,1,4.02492235949961,0.0,0.0,1
13,257,24672,P02_pv030_svc01875,0.3,0.1875,0.0,2,4.02492235949961,0.375,0.0,2
13,257,24672,P03_pv030_svc0375,0.3,0.375,0.0,3,4.02492235949961,0.75,0.0,3
13,257,24672,P04_pv045_svc0375,0.45,0.375,0.0,4,6.037383539249415,0.75,0.0,4
13,257,24672,P05_pv045_svc05625,0.45,0.5625,0.0,5,6.037383539249415,1.125,0.0,5
13,257,24672,P06_pv045_svc0750,0.45,0.75,0.0,6,6.037383539249415,1.5,0.0,6
13,257,24672,P07_pv060_svc0750,0.6,0.75,0.0,7,8.04984471899922,1.5,0.0,7
13,257,24672,P08_pv075_svc0750,0.75,0.75,0.0,8,10.062305898749024,1.5,0.0,8
14,282,27072,P00_pv0225_svc0000,0.225,0.0,0.0,0,3.0186917696247075,0.0,0.0,0
14,282,27072,P01_pv030_svc0000,0.3,0.0,0.0,1,4.02492235949961,0.0,0.0,1
14,282,27072,P02_pv030_svc01875,0.3,0.1875,0.0,2,4.02492235949961,0.375,0.0,2
14,282,27072,P03_pv030_svc0375,0.3,0.375,0.0,3,4.02492235949961,0.75,0.0,3
14,282,27072,P04_pv045_svc0375,0.45,0.375,0.0,4,6.037383539249415,0.75,0.0,4
14,282,27072,P05_pv045_svc05625,0.45,0.5625,0.0,5,6.037383539249415,1.125,0.0,5
14,282,27072,P06_pv045_svc0750,0.45,0.75,0.0,6,6.037383539249415,1.5,0.0,6
14,282,27072,P07_pv060_svc0750,0.6,0.75,0.0,7,8.04984471899922,1.5,0.0,7
14,282,27072,P08_pv075_svc0750,0.75,0.75,0.0,8,10.062305898749024,1.5,0.0,8
15,295,28320,P00_pv0225_svc0000,0.225,0.0,0.0,0,3.0186917696247075,0.0,0.0,0
15,295,28320,P01_pv030_svc0000,0.3,0.0,0.0,1,4.02492235949961,0.0,0.0,1
15,295,28320,P02_pv030_svc01875,0.3,0.1875,0.0,2,4.02492235949961,0.375,0.0,2
15,295,28320,P03_pv030_svc0375,0.3,0.375,0.0,3,4.02492235949961,0.75,0.0,3
15,295,28320,P04_pv045_svc0375,0.45,0.375,0.0,4,6.037383539249415,0.75,0.0,4
15,295,28320,P05_pv045_svc05625,0.45,0.5625,0.0,5,6.037383539249415,1.125,0.0,5
15,295,28320,P06_pv045_svc0750,0.45,0.75,0.0,6,6.037383539249415,1.5,0.0,6
15,295,28320,P07_pv060_svc0750,0.6,0.75,0.0,7,8.04984471899922,1.5,0.0,7
15,295,28320,P08_pv075_svc0750,0.75,0.75,0.0,8,10.062305898749024,1.5,0.0,8
16,299,28704,P00_pv0225_svc0000,0.225,0.0,0.0,0,3.0186917696247075,0.0,0.0,0
16,299,28704,P01_pv030_svc0000,0.3,0.0,0.0,1,4.02492235949961,0.0,0.0,1
16,299,28704,P02_pv030_svc01875,0.3,0.1875,0.0,2,4.02492235949961,0.375,0.0,2
16,299,28704,P03_pv030_svc0375,0.3,0.375,0.0,3,4.02492235949961,0.75,0.0,3
16,299,28704,P04_pv045_svc0375,0.45,0.375,0.0,4,6.037383539249415,0.75,0.0,4
16,299,28704,P05_pv045_svc05625,0.45,0.5625,0.0,5,6.037383539249415,1.125,0.0,5
16,299,28704,P06_pv045_svc0750,0.45,0.75,0.0,6,6.037383539249415,1.5,0.0,6
16,299,28704,P07_pv060_svc0750,0.6,0.75,0.0,7,8.04984471899922,1.5,0.0,7
16,299,28704,P08_pv075_svc0750,0.75,0.75,0.0,8,10.062305898749024,1.5,0.0,8
