scores,violation_sum_s,grid_loss_sum_s,pf_fail_sum_s
-30.376018511459815,10.0,-7.16207783739216,0.0
-15.851659524457686,2.0,-5.063251642832784,0.0
-89.45204027697667,14.0,-10.279073174829438,0.0
-74.2484473243681,16.0,-9.336311545606382,0.0
-15.248930631759682,1.0,-4.693119119641823,0.0
-123.84887795867245,21.0,-7.9211382547517495,0.0
-127.43589743157658,19.0,-10.844721431491589,0.0
-26.012421789807433,7.0,-7.089744369692448,0.0
-43.353392451201096,10.0,-6.892060204721269,0.0
-57.57590719029483,11.0,-7.834301913016717,0.0
-105.05636539972782,11.0,-7.109703745125408,0.0
-62.58111800460034,8.0,-8.876967907104955,0.0
-104.95712979867946,11.0,-7.5272492451258755,0.0
-39.042439933269435,8.0,-8.601480285848146,0.0
-13.512538168491481,8.0,-6.754646109868162,0.0
-51.05303935287206,11.0,-7.280599476683968,0.0
-116.21980875863464,14.0,-7.316273065034307,0.0
-191.9960817554602,22.0,-12.198742360120113,0.0
-104.27424430009171,13.0,-8.376431581976876,0.0
-20.011312724346716,3.0,-5.413741726298659,0.0
-85.21557174774703,18.0,-8.13043974033611,0.0
-20.23286423620293,2.0,-6.364076121484057,0.0
-16.638417016744096,6.0,-6.027606594236968,0.0
-21.898197912045752,4.0,-5.42510145673121,0.0
-20.3097130332277,4.0,-5.198623309190575,0.0
-63.61195264639072,5.0,-8.58137372139424,0.0
-43.59227252818336,9.0,-7.120400157227566,0.0
-18.617819945727096,2.0,-5.328096365253363,0.0
-26.164620288691083,4.0,-6.90997902799572,0.0
-39.700313276994265,6.0,-6.108862121444327,0.0
-22.94272680932836,3.0,-5.180055957231767,0.0
-194.91568456822873,19.0,-8.901199510076127,0.0
-8.367448746581593,1.0,-5.179904764810403,0.0
-44.61701760333106,10.0,-6.728200919356288,0.0
-21.018210270129995,5.0,-5.971679872103384,0.0
-70.24578442989251,14.0,-7.853245460122468,0.0
-97.57839963463914,13.0,-10.002426610690376,0.0
-74.21620957710341,16.0,-9.48940574475786,0.0
-110.91141739703131,18.0,-9.110797268671309,0.0
-35.04136173833102,10.0,-7.6423675647244735,0.0
-12.055938436615588,4.0,-6.340970025983814,0.0
-25.786731325362425,7.0,-6.904343411857755,0.0
-55.595810807374484,12.0,-7.4542401276165595,0.0
-85.91408394655113,10.0,-6.469492134554045,0.0
-10.57901788046936,2.0,-4.6110018507977575,0.0
-7.324020398811302,1.0,-6.749327068194797,0.0
-34.436869042442574,8.0,-6.699882429030419,0.0
-20.86842262273595,6.0,-8.085291862126281,0.0
-55.12942266438842,9.0,-7.482504061729666,0.0
-56.323758127253335,10.0,-5.535346401937262,0.0
-77.86896176892267,15.0,-8.679617231809875,0.0
-16.921615300029377,5.0,-5.492013932128487,0.0
-43.125831612418985,4.0,-6.688342647488107,0.0
-35.99166202511039,7.0,-6.886123119803094,0.0
-55.03294168605092,3.0,-5.375708493615522,0.0
-191.18631417953287,19.0,-9.229765405432302,0.0
-71.97812829616814,17.0,-6.423003260989945,0.0
-69.22825568860948,11.0,-7.023269997252398,0.0
-46.72644369017551,7.0,-5.966584451725638,0.0
-15.105189001096948,6.0,-6.134383776245138,0.0
-108.14969517816176,17.0,-10.034813876371505,0.0
-74.263466217433,10.0,-9.33687783209734,0.0
-7.039800660918811,1.0,-6.983825577833553,0.0
-11.267975231624726,3.0,-6.47283342694876,0.0
-31.179914007106973,8.0,-7.853023959859812,0.0
-5.758101150537249,1.0,-3.966367165860203,0.0
-11.879167321351927,1.0,-4.375305284895895,0.0
-7.731111294765583,2.0,-5.076536107112163,0.0
-39.40105940380178,5.0,-6.496320923005516,0.0
-52.01569272472118,8.0,-9.927937145071729,0.0
-9.03625966063764,1.0,-5.995970268122914,0.0
-4.412518805940085,0.0,-4.412518805940085,0.0
-30.603885122964144,4.0,-7.2219019061039385,0.0
-9.641809745455044,2.0,-4.813072658120377,0.0
-39.91595772706892,4.0,-8.26841093302831,0.0
-70.06395291734512,8.0,-8.543277984014285,0.0
-6.808667530806093,2.0,-5.6160456284053675,0.0
-59.492819711410974,12.0,-7.3096136297796726,0.0
