scorest,violation_sum_st,grid_loss_sum_st,pf_fail_sum_st
-5.050335045382688,1.0,-4.57087862656614,0.0
-7.063933447628906,1.0,-6.846654604236174,0.0
-4.729456103925257,0.0,-4.729456103925257,0.0
-5.403117888345726,1.0,-4.9075579919447065,0.0
-6.50718410684144,1.0,-5.595500505480483,0.0
-4.838810374000796,0.0,-4.838810374000796,0.0
-7.387185258688748,1.0,-6.5887230619680865,0.0
-4.7852986293035,0.0,-4.7852986293035,0.0
-8.21586971314647,1.0,-6.904997173164283,0.0
-5.923586818425222,2.0,-5.465424916222619,0.0
-5.470357963751833,2.0,-5.371748851652254,0.0
-6.189301364610147,1.0,-4.755648839189587,0.0
-8.154831505079468,2.0,-8.009412402291508,0.0
-5.660591657360161,0.0,-5.660591657360161,0.0
-4.555274324301466,0.0,-4.555274324301466,0.0
-5.386204472327184,1.0,-5.202470461222442,0.0
-5.222943105064077,0.0,-5.222943105064077,0.0
-3.986279024563411,0.0,-3.986279024563411,0.0
-4.272529386198773,0.0,-4.272529386198773,0.0
-3.6411664349794224,0.0,-3.6411664349794224,0.0
-6.841025780459835,0.0,-6.841025780459835,0.0
-5.2724681047707636,0.0,-5.2724681047707636,0.0
-4.195192274003345,0.0,-4.195192274003345,0.0
-5.311534221378486,0.0,-5.311534221378486,0.0
-4.58113566115682,0.0,-4.58113566115682,0.0
-4.213572039519036,0.0,-4.213572039519036,0.0
-5.993792017078955,2.0,-5.4848454739576065,0.0
-4.439477029160814,1.0,-4.111465803594365,0.0
-4.782361949281177,1.0,-4.718247051631496,0.0
-4.9354773923974085,0.0,-4.9354773923974085,0.0
-5.172140829323014,0.0,-5.172140829323014,0.0
-6.859571618147818,0.0,-6.859571618147818,0.0
-6.876212434005554,0.0,-6.876212434005554,0.0
-6.255342340390117,1.0,-5.8268663951946325,0.0
-5.600033818977052,1.0,-5.433811843942544,0.0
-5.811450895399363,1.0,-5.365250130519985,0.0
-5.675275688095565,1.0,-4.903988380238738,0.0
-5.217353259831132,1.0,-4.963037133918552,0.0
-4.5392702660094715,1.0,-4.356443140010097,0.0
-3.886176596016701,0.0,-3.886176596016701,0.0
-6.358538019940486,1.0,-6.0214053432159576,0.0
-6.1756112993067855,1.0,-5.266105290301951,0.0
-7.70541037492913,1.0,-6.706147963112615,0.0
-8.073639181070666,1.0,-6.043360605960242,0.0
-4.589409067443575,1.0,-3.7628118908714314,0.0
-7.173491991355933,2.0,-5.9458426268864475,0.0
-5.035158926081694,1.0,-4.827110237144914,0.0
-6.219648643251023,1.0,-5.9136001413465245,0.0
-4.928800212702982,0.0,-4.928800212702982,0.0
-3.8083608658577734,0.0,-3.8083608658577734,0.0
-7.7911138676949045,1.0,-6.675426087224218,0.0
-4.918932630342907,1.0,-4.607621951150451,0.0
-6.4260070539238665,2.0,-5.281864500259404,0.0
-4.085272927443988,0.0,-4.085272927443988,0.0
-5.352626254915978,1.0,-4.927516815998243,0.0
-9.567345663193384,2.0,-7.522180999092601,0.0
-6.926297970237363,0.0,-6.926297970237363,0.0
-6.469819955648524,0.0,-6.469819955648524,0.0
-5.114038523848749,0.0,-5.114038523848749,0.0
-5.935086980330337,0.0,-5.935086980330337,0.0
-3.30987543335843,0.0,-3.30987543335843,0.0
-3.635053722676766,0.0,-3.635053722676766,0.0
-3.9100491118472656,0.0,-3.9100491118472656,0.0
-4.876306459797739,0.0,-4.876306459797739,0.0
-7.996495902740233,0.0,-7.996495902740233,0.0
-5.374283008569003,0.0,-5.374283008569003,0.0
-3.819631231423228,0.0,-3.819631231423228,0.0
-5.926219042598538,0.0,-5.926219042598538,0.0
-3.991183042914663,0.0,-3.991183042914663,0.0
-7.269687857393357,0.0,-7.269687857393357,0.0
-6.117745291395323,0.0,-6.117745291395323,0.0
-4.667718294801879,0.0,-4.667718294801879,0.0
-5.0458699465037435,0.0,-5.0458699465037435,0.0
