candidate_id,pv_s_scale,svc_q_scale,cap_total_mvar,scenario_index,day_index,t0
100,0.45,0.375,0.0,192,228,21888
100,0.45,0.375,0.0,193,229,21984
100,0.45,0.375,0.0,194,230,22080
100,0.45,0.375,0.0,195,231,22176
100,0.45,0.375,0.0,196,232,22272
100,0.45,0.375,0.0,197,235,22560
100,0.45,0.375,0.0,198,236,22656
100,0.45,0.375,0.0,199,237,22752
100,0.45,0.375,0.0,200,238,22848
100,0.45,0.375,0.0,201,239,22944
100,0.45,0.375,0.0,202,240,23040
100,0.45,0.375,0.0,203,241,23136
100,0.45,0.375,0.0,204,243,23328
100,0.45,0.375,0.0,205,246,23616
100,0.45,0.375,0.0,206,247,23712
100,0.45,0.375,0.0,207,248,23808
100,0.45,0.375,0.0,208,249,23904
100,0.45,0.375,0.0,209,250,24000
100,0.45,0.375,0.0,210,252,24192
100,0.45,0.375,0.0,211,253,24288
100,0.45,0.375,0.0,212,254,24384
100,0.45,0.375,0.0,213,256,24576
100,0.45,0.375,0.0,214,257,24672
100,0.45,0.375,0.0,215,258,24768
100,0.45,0.375,0.0,216,259,24864
100,0.45,0.375,0.0,217,260,24960
100,0.45,0.375,0.0,218,261,25056
100,0.45,0.375,0.0,219,262,25152
100,0.45,0.375,0.0,220,263,25248
100,0.45,0.375,0.0,221,264,25344
100,0.45,0.375,0.0,222,265,25440
100,0.45,0.375,0.0,223,266,25536
100,0.45,0.375,0.0,224,267,25632
100,0.45,0.375,0.0,225,269,25824
100,0.45,0.375,0.0,226,270,25920
100,0.45,0.375,0.0,227,272,26112
100,0.45,0.375,0.0,228,273,26208
100,0.45,0.375,0.0,229,274,26304
100,0.45,0.375,0.0,230,275,26400
100,0.45,0.375,0.0,231,276,26496
100,0.45,0.375,0.0,232,278,26688
100,0.45,0.375,0.0,233,280,26880
100,0.45,0.375,0.0,234,281,26976
100,0.45,0.375,0.0,235,283,27168
100,0.45,0.375,0.0,236,286,27456
100,0.45,0.375,0.0,237,288,27648
100,0.45,0.375,0.0,238,290,27840
100,0.45,0.375,0.0,239,292,28032
100,0.45,0.375,0.0,240,294,28224
100,0.45,0.375,0.0,241,295,28320
100,0.45,0.375,0.0,242,297,28512
100,0.45,0.375,0.0,243,298,28608
100,0.45,0.375,0.0,244,300,28800
100,0.45,0.375,0.0,245,302,28992
100,0.45,0.375,0.0,246,303,29088
100,0.45,0.375,0.0,247,304,29184
100,0.45,0.375,0.0,248,305,29280
100,0.45,0.375,0.0,249,306,29376
100,0.45,0.375,0.0,250,307,29472
100,0.45,0.375,0.0,251,309,29664
100,0.45,0.375,0.0,252,310,29760
100,0.45,0.375,0.0,253,312,29952
100,0.45,0.375,0.0,254,313,30048
100,0.45,0.375,0.0,255,314,30144
100,0.45,0.375,0.0,256,315,30240
100,0.45,0.375,0.0,257,316,30336
100,0.45,0.375,0.0,258,317,30432
100,0.45,0.375,0.0,259,320,30720
100,0.45,0.375,0.0,260,321,30816
100,0.45,0.375,0.0,261,322,30912
100,0.45,0.375,0.0,262,323,31008
100,0.45,0.375,0.0,263,324,31104
100,0.45,0.375,0.0,264,325,31200
100,0.45,0.375,0.0,265,326,31296
100,0.45,0.375,0.0,266,327,31392
100,0.45,0.375,0.0,267,328,31488
100,0.45,0.375,0.0,268,331,31776
100,0.45,0.375,0.0,269,332,31872
100,0.45,0.375,0.0,270,333,31968
100,0.45,0.375,0.0,271,334,32064
