candidate_id,pv_s_scale,svc_q_scale,cap_total_mvar,pv_nameplate_mva,svc_nameplate_mvar
163,0.6,0.9375,0.75,8.049844718999243,1.875
164,0.6,0.9375,1.0,8.049844718999243,1.875
165,0.6,1.125,0.0,8.049844718999243,2.25
166,0.6,1.125,0.25,8.049844718999243,2.25
167,0.6,1.125,0.5,8.049844718999243,2.25
168,0.6,1.125,0.75,8.049844718999243,2.25
169,0.6,1.125,1.0,8.049844718999243,2.25
170,0.6,1.3125,0.0,8.049844718999243,2.625
171,0.6,1.3125,0.25,8.049844718999243,2.625
172,0.6,1.3125,0.5,8.049844718999243,2.625
173,0.6,1.3125,0.75,8.049844718999243,2.625
174,0.6,1.3125,1.0,8.049844718999243,2.625
175,0.6,1.5,0.0,8.049844718999243,3.0
176,0.6,1.5,0.25,8.049844718999243,3.0
177,0.6,1.5,0.5,8.049844718999243,3.0
178,0.6,1.5,0.75,8.049844718999243,3.0
179,0.6,1.5,1.0,8.049844718999243,3.0
180,0.75,0.0,0.0,10.062305898749054,0.0
181,0.75,0.0,0.25,10.062305898749054,0.0
182,0.75,0.0,0.5,10.062305898749054,0.0
183,0.75,0.0,0.75,10.062305898749054,0.0
184,0.75,0.0,1.0,10.062305898749054,0.0
185,0.75,0.1875,0.0,10.062305898749054,0.375
186,0.75,0.1875,0.25,10.062305898749054,0.375
187,0.75,0.1875,0.5,10.062305898749054,0.375
188,0.75,0.1875,0.75,10.062305898749054,0.375
189,0.75,0.1875,1.0,10.062305898749054,0.375
190,0.75,0.375,0.0,10.062305898749054,0.75
191,0.75,0.375,0.25,10.062305898749054,0.75
192,0.75,0.375,0.5,10.062305898749054,0.75
193,0.75,0.375,0.75,10.062305898749054,0.75
194,0.75,0.375,1.0,10.062305898749054,0.75
195,0.75,0.5625,0.0,10.062305898749054,1.125
196,0.75,0.5625,0.25,10.062305898749054,1.125
197,0.75,0.5625,0.5,10.062305898749054,1.125
198,0.75,0.5625,0.75,10.062305898749054,1.125
199,0.75,0.5625,1.0,10.062305898749054,1.125
200,0.75,0.75,0.0,10.062305898749054,1.5
201,0.75,0.75,0.25,10.062305898749054,1.5
202,0.75,0.75,0.5,10.062305898749054,1.5
203,0.75,0.75,0.75,10.062305898749054,1.5
204,0.75,0.75,1.0,10.062305898749054,1.5
205,0.75,0.9375,0.0,10.062305898749054,1.875
206,0.75,0.9375,0.25,10.062305898749054,1.875
207,0.75,0.9375,0.5,10.062305898749054,1.875
208,0.75,0.9375,0.75,10.062305898749054,1.875
209,0.75,0.9375,1.0,10.062305898749054,1.875
210,0.75,1.125,0.0,10.062305898749054,2.25
211,0.75,1.125,0.25,10.062305898749054,2.25
212,0.75,1.125,0.5,10.062305898749054,2.25
213,0.75,1.125,0.75,10.062305898749054,2.25
214,0.75,1.125,1.0,10.062305898749054,2.25
215,0.75,1.3125,0.0,10.062305898749054,2.625
216,0.75,1.3125,0.25,10.062305898749054,2.625
217,0.75,1.3125,0.5,10.062305898749054,2.625
218,0.75,1.3125,0.75,10.062305898749054,2.625
219,0.75,1.3125,1.0,10.062305898749054,2.625
220,0.75,1.5,0.0,10.062305898749054,3.0
221,0.75,1.5,0.25,10.062305898749054,3.0
222,0.75,1.5,0.5,10.062305898749054,3.0
223,0.75,1.5,0.75,10.062305898749054,3.0
224,0.75,1.5,1.0,10.062305898749054,3.0
225,0.9,0.0,0.0,12.074767078498866,0.0
226,0.9,0.0,0.25,12.074767078498866,0.0
227,0.9,0.0,0.5,12.074767078498866,0.0
228,0.9,0.0,0.75,12.074767078498866,0.0
229,0.9,0.0,1.0,12.074767078498866,0.0
230,0.9,0.1875,0.0,12.074767078498866,0.375
231,0.9,0.1875,0.25,12.074767078498866,0.375
232,0.9,0.1875,0.5,12.074767078498866,0.375
233,0.9,0.1875,0.75,12.074767078498866,0.375
234,0.9,0.1875,1.0,12.074767078498866,0.375
235,0.9,0.375,0.0,12.074767078498866,0.75
236,0.9,0.375,0.25,12.074767078498866,0.75
237,0.9,0.375,0.5,12.074767078498866,0.75
238,0.9,0.375,0.75,12.074767078498866,0.75
239,0.9,0.375,1.0,12.074767078498866,0.75
240,0.9,0.5625,0.0,12.074767078498866,1.125
241,0.9,0.5625,0.25,12.074767078498866,1.125
242,0.9,0.5625,0.5,12.074767078498866,1.125
243,0.9,0.5625,0.75,12.074767078498866,1.125
244,0.9,0.5625,1.0,12.074767078498866,1.125
245,0.9,0.75,0.0,12.074767078498866,1.5
246,0.9,0.75,0.25,12.074767078498866,1.5
247,0.9,0.75,0.5,12.074767078498866,1.5
248,0.9,0.75,0.75,12.074767078498866,1.5
249,0.9,0.75,1.0,12.074767078498866,1.5
250,0.9,0.9375,0.0,12.074767078498866,1.875
251,0.9,0.9375,0.25,12.074767078498866,1.875
252,0.9,0.9375,0.5,12.074767078498866,1.875
253,0.9,0.9375,0.75,12.074767078498866,1.875
254,0.9,0.9375,1.0,12.074767078498866,1.875
255,0.9,1.125,0.0,12.074767078498866,2.25
256,0.9,1.125,0.25,12.074767078498866,2.25
257,0.9,1.125,0.5,12.074767078498866,2.25
258,0.9,1.125,0.75,12.074767078498866,2.25
259,0.9,1.125,1.0,12.074767078498866,2.25
260,0.9,1.3125,0.0,12.074767078498866,2.625
