candidate_id,worst_seed_risk,mean_seed_risk,worst_seed_pf_fail_rate,mean_daily_loss_mwh,maximum_seed_loss_mwh,mean_intervention_rate,projection_failure_steps,worst_vmin,worst_vmax,raw_worst_vmin,raw_worst_vmax,pv_s_scale,svc_q_scale,cap_total_mvar,selection_role,resource_index,path_fraction,robust_feasible,display_role,highlight
2000,0.0,0.0,0.0,0.8691361575574951,0.9006458975361188,0.0024652777777777,0,0.9505000002619868,1.036468500720416,0.9433702870249968,1.036468500720416,0.7,0.7,0.0,risk_path,70.0,0.0,1,Predefined capacity path,
2001,0.0,0.0,0.0,0.8975893293154771,0.9339399047792925,0.0007291666666666,0,0.9505000005529652,1.0358879739396654,0.9453380931828914,1.0358879739396654,0.75,0.75,0.0625,risk_path,75.125,0.0625,1,Predefined capacity path,
2002,0.0,0.0,0.0,0.9374004926736484,0.978048787665658,0.0002083333333333,0,0.950500000643108,1.0351078164666894,0.9473062373408766,1.0351078164666894,0.7999999999999999,0.7999999999999999,0.125,risk_path,80.25,0.125,1,Predefined capacity path,
2003,0.0,0.0,0.0,0.9877642998328912,1.031988625569555,8.680555555555499e-05,0,0.950500000827401,1.0342369398030855,0.9491704540989714,1.0342369398030855,0.85,0.85,0.1875,risk_path,85.375,0.1875,1,Predefined capacity path,
2004,0.0,0.0,0.0,1.0477781804005033,1.0949883404042111,0.0,0,0.950830264495522,1.0330933062150929,0.950830264495522,1.0330933062150929,0.8999999999999999,0.8999999999999999,0.25,risk_path,90.5,0.25,1,Predefined capacity path,
2005,0.0,0.0,0.0,1.1168796826311531,1.1665242929623487,0.0,0,0.9525086769820212,1.0318492729692696,0.9525086769820212,1.0318492729692696,0.95,0.95,0.3125,risk_path,95.625,0.3125,1,Predefined capacity path,
2006,0.0,0.0,0.0,1.1944167192512545,1.2460078328751056,0.0,0,0.954177061253898,1.0305240199158874,0.954177061253898,1.0305240199158874,1.0,1.0,0.375,risk_path,100.75,0.375,1,Predefined capacity path,
2007,0.0,0.0,0.0,1.279735669414985,1.332884402009973,0.0,0,0.9557937161241068,1.02911589251748,0.9557937161241068,1.02911589251748,1.05,1.05,0.4375,risk_path,105.875,0.4375,1,Predefined capacity path,
2008,0.0,0.0,0.0,1.3725204617529456,1.4270562192747334,0.0,0,0.9574029612257772,1.0293477003552456,0.9574029612257772,1.0293477003552456,1.1,1.1,0.5,risk_path,111.0,0.5,1,Predefined capacity path,
2009,0.0,0.0,0.0,1.4722356355541464,1.5284190875991266,0.0,0,0.9589784445836004,1.031084465678258,0.9589784445836004,1.031084465678258,1.15,1.15,0.5625,risk_path,116.125,0.5625,1,Predefined capacity path,
2010,0.0,0.0,0.0,1.5785004867256454,1.6390902869566926,0.0,0,0.9605127689731516,1.0327858851320335,0.9605127689731516,1.0327858851320335,1.2,1.2,0.625,risk_path,121.25,0.625,1,Predefined capacity path,
2011,0.0,0.0,0.0,1.6910951896387598,1.7592795140784394,0.0,0,0.9620015064480134,1.034461446163044,0.9620015064480134,1.034461446163044,1.25,1.25,0.6875,risk_path,126.375,0.6875,1,Predefined capacity path,
2012,0.0,0.0,0.0,1.809819061537283,1.884597844576954,0.0,0,0.9634416742508548,1.0360872005193795,0.9634416742508548,1.0360872005193795,1.3,1.3,0.75,risk_path,131.5,0.75,1,Predefined capacity path,
2013,0.0,0.0,0.0,1.9343195078187791,2.014964307464985,0.0,0,0.9648362962657384,1.03770330486009,0.9648362962657384,1.03770330486009,1.35,1.35,0.8125,risk_path,136.625,0.8125,1,Predefined capacity path,
2014,0.0,0.0,0.0,2.064347651514899,2.150470308726929,0.0,0,0.9662140644000956,1.039312978526556,0.9662140644000956,1.039312978526556,1.4,1.4,0.875,risk_path,141.75,0.875,1,Predefined capacity path,
2015,0.0,0.0,0.0,2.199933391656342,2.2914915198227903,0.0,0,0.9675481940790152,1.0408944113575618,0.9675481940790152,1.0408944113575618,1.45,1.45,0.9375,risk_path,146.875,0.9375,1,Predefined capacity path,
2016,0.0,0.0,0.0,2.34138231083422,2.4387078608390893,0.0,0,0.968668389400991,1.0424626419194367,0.968668389400991,1.0424626419194367,1.5,1.5,1.0,risk_path,152.0,1.0,1,Predefined capacity path,High redundancy
