panel,candidate_id,pv_s_scale,svc_q_scale,cap_total_mvar,mean_daily_loss_mwh,resource_index,delta_loss_mwh,delta_intervention,best_loss_mwh,comparator_loss_mwh,saving_pct,best_pv_scale,best_svc_scale,best_cap_mvar,comparator_pv_scale,comparator_svc_scale,comparator_cap_mvar
a_refine_cap0_loss,27.0,0.7421052631578947,0.9947368421052633,0.0,1.069214627049761,86.84210526315789,,,,,,,,,,,
a_refine_cap0_loss,28.0,0.7421052631578947,1.0368421052631578,0.0,1.108426278373454,88.94736842105263,,,,,,,,,,,
a_refine_cap0_loss,29.0,0.7421052631578947,1.0789473684210529,0.0,1.1505266101912548,91.05263157894736,,,,,,,,,,,
a_refine_cap0_loss,40.0,0.7842105263157895,0.7,0.0,0.8877081577911888,74.21052631578948,,,,,,,,,,,
a_refine_cap0_loss,41.0,0.7842105263157895,0.7421052631578947,0.0,0.905876509583158,76.3157894736842,,,,,,,,,,,
a_refine_cap0_loss,42.0,0.7842105263157895,0.7842105263157895,0.0,0.927274699727863,78.42105263157895,,,,,,,,,,,
a_refine_cap0_loss,43.0,0.7842105263157895,0.8263157894736841,0.0,0.9518488491003586,80.52631578947367,,,,,,,,,,,
a_refine_cap0_loss,44.0,0.7842105263157895,0.8684210526315789,0.0,0.9795187955394484,82.63157894736841,,,,,,,,,,,
a_refine_cap0_loss,45.0,0.7842105263157895,0.9105263157894736,0.0,1.0101946504287251,84.73684210526315,,,,,,,,,,,
a_refine_cap0_loss,46.0,0.7842105263157895,0.9526315789473684,0.0,1.0438536160289071,86.84210526315789,,,,,,,,,,,
a_refine_cap0_loss,47.0,0.7842105263157895,0.9947368421052633,0.0,1.080447575262615,88.94736842105263,,,,,,,,,,,
a_refine_cap0_loss,48.0,0.7842105263157895,1.0368421052631578,0.0,1.1199394218591674,91.05263157894736,,,,,,,,,,,
a_refine_cap0_loss,60.0,0.8263157894736841,0.7,0.0,0.8974485735943437,76.3157894736842,,,,,,,,,,,
a_refine_cap0_loss,61.0,0.8263157894736841,0.7421052631578947,0.0,0.9160283781560978,78.42105263157893,,,,,,,,,,,
a_refine_cap0_loss,62.0,0.8263157894736841,0.7842105263157895,0.0,0.9378420783657504,80.52631578947367,,,,,,,,,,,
a_refine_cap0_loss,63.0,0.8263157894736841,0.8263157894736841,0.0,0.962808902351182,82.63157894736841,,,,,,,,,,,
