episode,method,rolling_mean,seed_min,seed_max,seed_42,seed_43,seed_44
137,WG-CVaR-PPO,-8.146326763112404,-8.315793960639208,-8.044855255861098,-8.315793960639208,-8.044855255861098,-8.078331072836905
138,WG-CVaR-PPO,-8.104949755845915,-8.421066709892447,-7.908549006861897,-8.421066709892447,-7.985233550783403,-7.908549006861897
139,WG-CVaR-PPO,-8.234923793868077,-8.504599533543908,-8.006140249061248,-8.504599533543908,-8.194031598999077,-8.006140249061248
140,WG-CVaR-PPO,-8.249249806722846,-8.629099109194156,-8.050963100978096,-8.629099109194156,-8.050963100978096,-8.067687209996286
141,WG-CVaR-PPO,-8.169928083110907,-8.490636343134437,-7.962567519600708,-8.490636343134437,-7.962567519600708,-8.056580386597577
142,WG-CVaR-PPO,-8.051269900702113,-8.357483635145666,-7.822732889222079,-8.357483635145666,-7.822732889222079,-7.9735931777385955
143,WG-CVaR-PPO,-8.0309233339282,-8.31851767717692,-7.841163870477458,-8.31851767717692,-7.933088454130223,-7.841163870477458
144,WG-CVaR-PPO,-7.97093318459988,-8.157386903054805,-7.795753519402889,-8.157386903054805,-7.959659131341944,-7.795753519402889
145,WG-CVaR-PPO,-7.94416299846026,-8.172743332581362,-7.801988937994,-8.172743332581362,-7.801988937994,-7.857756724805416
146,WG-CVaR-PPO,-7.94694740761265,-8.120056945871303,-7.767512654467507,-8.120056945871303,-7.95327262249914,-7.767512654467507
147,WG-CVaR-PPO,-7.913791835431618,-8.113834204069754,-7.7658534488284445,-8.113834204069754,-7.861687853396655,-7.7658534488284445
148,WG-CVaR-PPO,-7.967813812771244,-8.200946456103289,-7.767992568642906,-8.200946456103289,-7.934502413567536,-7.767992568642906
149,WG-CVaR-PPO,-7.872202815130511,-8.093511727750167,-7.701592056739369,-8.093511727750167,-7.821504660901999,-7.701592056739369
150,WG-CVaR-PPO,-7.773177128308841,-8.075159745802695,-7.6109934806559885,-8.075159745802695,-7.63337815846784,-7.6109934806559885
151,WG-CVaR-PPO,-7.760707842458529,-7.997905930871577,-7.597908845071406,-7.997905930871577,-7.597908845071406,-7.686308751432603
152,WG-CVaR-PPO,-7.668707155063086,-7.987890398435096,-7.407257151784158,-7.987890398435096,-7.610973914970007,-7.407257151784158
153,WG-CVaR-PPO,-7.617385538119394,-7.887400708902233,-7.348462798637436,-7.887400708902233,-7.616293106818515,-7.348462798637436
154,WG-CVaR-PPO,-7.573620725714466,-7.838421033207598,-7.361794433496097,-7.838421033207598,-7.520646710439703,-7.361794433496097
155,WG-CVaR-PPO,-7.519313629998996,-7.769519153753379,-7.277351723607882,-7.769519153753379,-7.511070012635726,-7.277351723607882
156,WG-CVaR-PPO,-7.555360463148895,-7.878411862627781,-7.248825587809652,-7.878411862627781,-7.538843939009252,-7.248825587809652
157,WG-CVaR-PPO,-7.5555457474406325,-7.9196820236030065,-7.246608754940572,-7.9196820236030065,-7.500346463778316,-7.246608754940572
158,WG-CVaR-PPO,-7.5538316718452805,-7.85388329278145,-7.21625192651449,-7.85388329278145,-7.5913597962399,-7.21625192651449
159,WG-CVaR-PPO,-7.511552301425638,-7.69820106703096,-7.239051679052376,-7.69820106703096,-7.597404158193577,-7.239051679052376
160,WG-CVaR-PPO,-7.623976451564474,-7.95142835454219,-7.287686962994986,-7.95142835454219,-7.632814037156244,-7.287686962994986
161,WG-CVaR-PPO,-7.619544461215408,-7.957669031113796,-7.346182948671401,-7.957669031113796,-7.554781403861029,-7.346182948671401
162,WG-CVaR-PPO,-7.5228756611086185,-7.850600046148064,-7.227538877431092,-7.850600046148064,-7.490488059746699,-7.227538877431092
163,WG-CVaR-PPO,-7.575533254103251,-7.784781513960123,-7.3624201495655806,-7.784781513960123,-7.57939809878405,-7.3624201495655806
164,WG-CVaR-PPO,-7.507070561213403,-7.712899042973083,-7.291401908165474,-7.712899042973083,-7.516910732501652,-7.291401908165474
165,WG-CVaR-PPO,-7.468283787261562,-7.6772768538095955,-7.255304955692181,-7.6772768538095955,-7.472269552282909,-7.255304955692181
166,WG-CVaR-PPO,-7.515773636087203,-7.849201900318405,-7.175383914437105,-7.849201900318405,-7.522735093506097,-7.175383914437105
167,WG-CVaR-PPO,-7.53130714274457,-7.812860930852266,-7.1903298988954125,-7.812860930852266,-7.590730598486032,-7.1903298988954125
168,WG-CVaR-PPO,-7.465460187077319,-7.788936023422474,-7.110622111605908,-7.788936023422474,-7.496822426203574,-7.110622111605908
169,WG-CVaR-PPO,-7.526515201536294,-7.882073862242772,-7.038578815105341,-7.882073862242772,-7.6588929272607675,-7.038578815105341
170,WG-CVaR-PPO,-7.508822623962328,-7.851542154759442,-7.000524364449697,-7.851542154759442,-7.6744013526778465,-7.000524364449697
171,WG-CVaR-PPO,-7.417805780224396,-7.8075456960016245,-6.890038040547788,-7.8075456960016245,-7.555833604123773,-6.890038040547788
172,WG-CVaR-PPO,-7.343307782217448,-7.676031875355562,-6.783951232677433,-7.676031875355562,-7.569940238619352,-6.783951232677433
173,WG-CVaR-PPO,-7.253371757091673,-7.559366022806487,-6.818851513715388,-7.559366022806487,-7.381897734753145,-6.818851513715388
174,WG-CVaR-PPO,-7.2429470003060565,-7.416405864738342,-6.9518114416740255,-7.360623694505801,-7.416405864738342,-6.9518114416740255
175,WG-CVaR-PPO,-7.210194068212158,-7.402441997159267,-6.8765050520735675,-7.351635155403641,-7.402441997159267,-6.8765050520735675
176,WG-CVaR-PPO,-7.235442021386127,-7.411960601231204,-6.956630215550022,-7.337735247377153,-7.411960601231204,-6.956630215550022
177,WG-CVaR-PPO,-7.256385302928185,-7.450469419526502,-7.052279113447366,-7.266407375810688,-7.450469419526502,-7.052279113447366
178,WG-CVaR-PPO,-7.306210892003272,-7.4339436575621525,-7.127617155265775,-7.4339436575621525,-7.357071863181891,-7.127617155265775
179,WG-CVaR-PPO,-7.311068289284237,-7.479007866906853,-7.0491479038095415,-7.405049097136317,-7.479007866906853,-7.0491479038095415
180,WG-CVaR-PPO,-7.359655601559361,-7.447801997054321,-7.23020956003788,-7.400955247585881,-7.447801997054321,-7.23020956003788
181,WG-CVaR-PPO,-7.311912671581259,-7.399848822927704,-7.183479090171077,-7.352410101644997,-7.399848822927704,-7.183479090171077
182,WG-CVaR-PPO,-7.26168799351688,-7.417641396326681,-7.156511652158324,-7.210910932065631,-7.417641396326681,-7.156511652158324
183,WG-CVaR-PPO,-7.2572479335267275,-7.292350244430782,-7.2318144885198965,-7.247579067629503,-7.292350244430782,-7.2318144885198965
184,WG-CVaR-PPO,-7.2760071745880355,-7.347860996456088,-7.224421516536994,-7.2557390107710225,-7.347860996456088,-7.224421516536994
185,WG-CVaR-PPO,-7.154947477941129,-7.303472143323456,-7.042928354416144,-7.118441936083789,-7.303472143323456,-7.042928354416144
186,WG-CVaR-PPO,-7.2032773086676345,-7.420416171524323,-7.081272987307722,-7.108142767170862,-7.420416171524323,-7.081272987307722
187,WG-CVaR-PPO,-7.267478651255086,-7.465754979503587,-7.1317332543164325,-7.204947719945238,-7.465754979503587,-7.1317332543164325
188,WG-CVaR-PPO,-7.219173559060131,-7.491909710337333,-7.056463566116685,-7.056463566116685,-7.491909710337333,-7.109147400726377
189,WG-CVaR-PPO,-7.159628632941964,-7.345779942230216,-7.027432477112791,-7.105673479482885,-7.345779942230216,-7.027432477112791
190,WG-CVaR-PPO,-7.203918453025833,-7.283975066248571,-7.060986572870457,-7.266793719958474,-7.283975066248571,-7.060986572870457
191,WG-CVaR-PPO,-7.207657571366117,-7.317823748840912,-7.0830150369116005,-7.222133928345841,-7.317823748840912,-7.0830150369116005
